name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Non/Nein,H,34,Visp,20221025092539
Claudia ALPIGER,ZUK-VS,Abst./Enth.,F,33,Brig,20221025092539
Romano AMACKER,SVPO,Non/Nein,H,25,Westlich Raron,20221025092539
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Abst./Enth.,F,59,Brig,20221025092539
Peter BÄHLER,SVPO,Non/Nein,H,69,Goms,20221025092539
Gabrielle BARRAS,UDC,Oui/Ja,F,59,Sion,20221025092539
Léonard BENDER,AC,Abst./Enth.,H,54,Martigny,20221025092539
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20221025092539
Claudy BESSE,UDC,Oui/Ja,H,58,Monthey,20221025092539
Vincent BOAND,UDC,Oui/Ja,H,37,Sion,20221025092539
Alex BONVIN,UDC,Oui/Ja,H,63,Sierre,20221025092539
Nicolas BONVIN,Le Centre,Oui/Ja,H,33,Sierre,20221025092539
Sophie BORNET,Le Centre,Non/Nein,F,54,Conthey,20221025092539
Gaël BOURGEOIS,PS-GC,Non/Nein,H,39,Martigny,20221025092539
Hermann BRUNNER,CSPO,Non/Nein,H,68,Westlich Raron,20221025092539
Michael BURGENER,Die Mitte Oberwallis,Non/Nein,H,41,Visp,20221025092539
Paul BURGENER,Die Mitte Oberwallis,Non/Nein,H,69,Visp,20221025092539
Peter BURRI,ZUK-VS,Abst./Enth.,H,57,Visp,20221025092539
Mathieu CALOZ,VLR,Non/Nein,H,29,Sierre,20221025092539
Chantal CARLEN,Die Mitte Oberwallis,Abst./Enth.,F,30,Goms,20221025092539
Florine CARRON,LES VERTS,Abst./Enth.,F,44,Martigny,20221025092539
Florence CARRON DARBELLAY,Le Centre,Abst./Enth.,F,49,Martigny,20221025092539
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,75,Martigny,20221025092539
Stéphane CLAVIEN,VLR,Abst./Enth.,H,65,Sierre,20221025092539
Damien CLERC,Le Centre,Abst./Enth.,H,41,Conthey,20221025092539
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Abst./Enth.,F,61,Sierre,20221025092539
Adeline CRETTENAND,VLR,Abst./Enth.,F,28,Martigny,20221025092539
Narcisse CRETTENAND,VLR,Abst./Enth.,H,67,Martigny,20221025092539
Blaise CRETTOL,AC,Abst./Enth.,H,50,Sierre,20221025092539
Cilette CRETTON,AC,Abst./Enth.,F,77,Martigny,20221025092539
Lucile CURDY,PS-GC,Abst./Enth.,F,23,Conthey,20221025092539
Alina DARBELLAY,LES VERTS,Abst./Enth.,F,55,Sion,20221025092539
Pierre DARBELLAY,Le Centre,Abst./Enth.,H,34,Entremont,20221025092539
Olivier DERIVAZ,PS-GC,Abst./Enth.,H,58,Monthey,20221025092539
Eric DESSIMOZ,LES VERTS,Abst./Enth.,H,57,Conthey,20221025092539
Arnaud DUBOIS,VLR,Abst./Enth.,H,37,Monthey,20221025092539
Corinne DUC BONVIN,PS-GC,Abst./Enth.,F,55,Sierre,20221025092539
Marius DUMOULIN,Le Centre,Abst./Enth.,H,67,Sion,20221025092539
Jean-Marc DUPONT,PS-GC,Abst./Enth.,H,64,Martigny,20221025092539
Christian ESCHER,CSPO,Abst./Enth.,H,43,Brig,20221025092539
Florian EVEQUOZ,AC,Oui/Ja,H,41,Conthey,20221025092539
German EYER,ZUK-VS,Abst./Enth.,H,61,Brig,20221025092539
Natascha FARQUET,VLR,Abst./Enth.,F,40,Martigny,20221025092539
Mélanie FOLLONIER,VLR,Abst./Enth.,F,30,Hérens,20221025092539
Sandro FONTANA,Le Centre,Abst./Enth.,H,56,Monthey,20221025092539
Jérôme FORMAZ,UDC,Oui/Ja,H,46,Entremont,20221025092539
Sabine FOURNIER,LES VERTS,Abst./Enth.,F,47,St-Maurice,20221025092539
Damien FUMEAUX,UDC,Oui/Ja,H,24,Conthey,20221025092539
Pascale FUMEAUX,AC,Oui/Ja,F,40,Conthey,20221025092539
Sandro FUX,SVPO,Non/Nein,H,34,Brig,20221025092539
Claudia GAILLARD MOREND,LES VERTS,Abst./Enth.,F,56,Hérens,20221025092539
Marc-Antoine GENOLET,UDC,Oui/Ja,H,58,Hérens,20221025092539
François GENOUD,VLR,Abst./Enth.,H,70,Sierre,20221025092539
Géraldine GIANADDA,VLR,Abst./Enth.,F,55,Martigny,20221025092539
Anne-Marie GRAND,Le Centre,Abst./Enth.,F,50,Conthey,20221025092539
Géraldine GRANGES GUENOT,UDC,Oui/Ja,F,47,Martigny,20221025092539
Vincent GÜNTHER,LES VERTS,Abst./Enth.,H,53,Martigny,20221025092539
Ida HÄFLIGER,CSPO,Abst./Enth.,F,65,Visp,20221025092539
Christelle HERITIER,VLR,Oui/Ja,F,37,Sion,20221025092539
Monika HOLZEGGER,ZUK-VS,Abst./Enth.,F,48,Brig,20221025092539
Lukas JÄGER,SVPO,Non/Nein,H,67,Leuk,20221025092539
Lukas KALBERMATTEN,Die Mitte Oberwallis,Non/Nein,H,51,Westlich Raron,20221025092539
Dominik KNUBEL,Die Mitte Oberwallis,Abst./Enth.,H,42,Westlich Raron,20221025092539
Michael KREUZER,SVPO,Non/Nein,H,33,Visp,20221025092539
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,63,Leuk,20221025092539
Alain LÉGER,Le Centre,Abst./Enth.,H,44,Martigny,20221025092539
Jean-François LOVEY,AC,Abst./Enth.,H,67,Entremont,20221025092539
Natacha MARET,Le Centre,Abst./Enth.,F,39,Entremont,20221025092539
Rainer MATHIER,Die Mitte Oberwallis,Non/Nein,H,65,Leuk,20221025092539
