name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,33,Visp,20211005100144
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,32,Brig,20211005100144
Romano AMACKER,SVPO,Non/Nein,H,24,Westlich Raron,20211005100144
Maria ARNOLD-ESCHER,CVPO,Oui/Ja,F,58,Brig,20211005100144
Peter BÄHLER,SVPO,Non/Nein,H,68,Goms,20211005100144
Gabrielle BARRAS,UDC,Non/Nein,F,58,Sion,20211005100144
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20211005100144
Philippe BENDER,VLR,Oui/Ja,H,71,Martigny,20211005100144
Claudy BESSE,UDC,Non/Nein,H,57,Monthey,20211005100144
Jacques BLANC,AC,Abst./Enth.,H,67,Hérens,20211005100144
Vincent BOAND,UDC,Non/Nein,H,36,Sion,20211005100144
Jean BONNARD,AC,Oui/Ja,H,72,Sion,20211005100144
Alex BONVIN,UDC,Oui/Ja,H,62,Sierre,20211005100144
Nicolas BONVIN,PDC,Oui/Ja,H,32,Sierre,20211005100144
Sophie BORNET,PDC,Oui/Ja,F,53,Conthey,20211005100144
Gaël BOURGEOIS,AdG,Oui/Ja,H,38,Martigny,20211005100144
Hermann BRUNNER,CSPO,Oui/Ja,H,67,Westlich Raron,20211005100144
Michael BURGENER,CVPO,Oui/Ja,H,40,Visp,20211005100144
Paul BURGENER,CVPO,Oui/Ja,H,68,Visp,20211005100144
Peter BURRI,ZUK-VS,Oui/Ja,H,56,Visp,20211005100144
Mathieu CALOZ,VLR,Oui/Ja,H,28,Sierre,20211005100144
Chantal CARLEN,CVPO,Oui/Ja,F,29,Goms,20211005100144
Florine CARRON,LES VERTS,Oui/Ja,F,43,Martigny,20211005100144
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,48,Martigny,20211005100144
Patricia CASAYS,PDC,Oui/Ja,F,74,Monthey,20211005100144
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,74,Martigny,20211005100144
Stéphane CLAVIEN,VLR,Oui/Ja,H,64,Sierre,20211005100144
Damien CLERC,PDC,Oui/Ja,H,40,Conthey,20211005100144
Adeline CRETTENAND,VLR,Oui/Ja,F,27,Martigny,20211005100144
Narcisse CRETTENAND,VLR,Oui/Ja,H,66,Martigny,20211005100144
Blaise CRETTOL,AC,Oui/Ja,H,49,Sierre,20211005100144
Cilette CRETTON,AC,Oui/Ja,F,76,Martigny,20211005100144
Alina DARBELLAY,LES VERTS,Oui/Ja,F,54,Sion,20211005100144
Pierre DARBELLAY,PDC,Oui/Ja,H,33,Entremont,20211005100144
Olivier DERIVAZ,AdG,Oui/Ja,H,57,Monthey,20211005100144
Ralph DESSIMOZ,PDC,Abst./Enth.,H,57,Conthey,20211005100144
Arnaud DUBOIS,VLR,Oui/Ja,H,36,Monthey,20211005100144
Alain DUBOSSON,UDC,Non/Nein,H,22,Monthey,20211005100144
Sophie DUCREY,AC,Oui/Ja,F,26,Monthey,20211005100144
Marius DUMOULIN,PDC,Oui/Ja,H,66,Sion,20211005100144
Jean-Marc DUPONT,AdG,Oui/Ja,H,63,Martigny,20211005100144
Christian ESCHER,CSPO,Oui/Ja,H,42,Brig,20211005100144
Florian EVEQUOZ,AC,Oui/Ja,H,40,Conthey,20211005100144
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20211005100144
Natascha FARQUET,VLR,Oui/Ja,F,39,Martigny,20211005100144
Florent FAVRE,PDC,Oui/Ja,H,27,Conthey,20211005100144
Mélanie FOLLONIER,VLR,Oui/Ja,F,29,Hérens,20211005100144
Sandro FONTANA,PDC,Oui/Ja,H,55,Monthey,20211005100144
Jérôme FORMAZ,UDC,Non/Nein,H,45,Entremont,20211005100144
Sabine FOURNIER,LES VERTS,Oui/Ja,F,46,St-Maurice,20211005100144
Damien FUMEAUX,UDC,Non/Nein,H,24,Conthey,20211005100144
Pascale FUMEAUX,AC,Oui/Ja,F,39,Conthey,20211005100144
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,55,Hérens,20211005100144
Marc-Antoine GENOLET,UDC,Non/Nein,H,57,Hérens,20211005100144
François GENOUD,VLR,Oui/Ja,H,69,Sierre,20211005100144
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,52,Martigny,20211005100144
Ida HÄFLIGER,CSPO,Oui/Ja,F,64,Visp,20211005100144
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,47,Brig,20211005100144
Lukas JÄGER,SVPO,Oui/Ja,H,66,Leuk,20211005100144
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,50,Westlich Raron,20211005100144
Dominik KNUBEL,CVPO,Oui/Ja,H,41,Westlich Raron,20211005100144
Michael KREUZER,SVPO,Non/Nein,H,32,Visp,20211005100144
Ralph KUMMER,SVPO,Non/Nein,H,43,Brig,20211005100144
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,62,Leuk,20211005100144
Alain LÉGER,PDC,Oui/Ja,H,43,Martigny,20211005100144
Jean-François LOVEY,AC,Abst./Enth.,H,67,Entremont,20211005100144
Damien LUISIER,PDC,Abst./Enth.,H,28,Martigny,20211005100144
Vincent LUYET,AC,Oui/Ja,H,44,Sion,20211005100144
Natacha MARET,PDC,Oui/Ja,F,38,Entremont,20211005100144
Rainer MATHIER,CVPO,Oui/Ja,H,64,Leuk,20211005100144
Thomas MATTER,CSPO,Oui/Ja,H,55,Leuk,20211005100144
Kamy MAY,PDC,Oui/Ja,F,27,Entremont,20211005100144
Nicolas METTAN,PDC,Oui/Ja,H,60,St-Maurice,20211005100144
Fabienne MURMANN,CVPO,Oui/Ja,F,40,Leuk,20211005100144
Jean-Daniel NANCHEN,LES VERTS,Abst./Enth.,H,64,Sierre,20211005100144
Claude NANÇOZ,VLR,Oui/Ja,H,69,Conthey,20211005100144
Edmond PERRUCHOUD,UDC,Non/Nein,H,74,Sierre,20211005100144
Frédéric PITTELOUD,PDC,Oui/Ja,H,46,Hérens,20211005100144
Géraldine POUGET-ZUFFEREY,PDC,Oui/Ja,F,31,Sierre,20211005100144
Emilie PRAZ,AC,Oui/Ja,F,35,Sion,20211005100144
François QUENNOZ,UDC,Non/Nein,H,28,Sion,20211005100144
Pierre-Alain RAEMY,VLR,Oui/Ja,H,60,Sion,20211005100144
Célina RAMSAUER,AC,Abst./Enth.,F,45,Sierre,20211005100144
Kurt REGOTZ,CSPO,Oui/Ja,H,68,Brig,20211005100144
Jean-Pierre REY,VLR,Oui/Ja,H,59,Sierre,20211005100144
Caroline REYNARD,AdG,Oui/Ja,F,25,Sion,20211005100144
Janine REY-SIGGEN,AdG,Oui/Ja,F,61,Sierre,20211005100144
Johan ROCHEL,AC,Oui/Ja,H,38,Monthey,20211005100144
Yann RODUIT,PDC,Oui/Ja,H,47,Sion,20211005100144
Martine ROUILLER,AC,Oui/Ja,F,39,St-Maurice,20211005100144
Léa ROUILLER DESSIMOZ,LES VERTS,Oui/Ja,F,21,Conthey,20211005100144
Christine ROUX,PDC,Oui/Ja,F,59,Sion,20211005100144
Felix RUPPEN,CVPO,Abst./Enth.,H,60,Brig,20211005100144
Gérard SALAMIN,PDC,Oui/Ja,H,58,Sierre,20211005100144
Mathieu SARRASIN,VLR,Oui/Ja,H,60,Entremont,20211005100144
Jean-Marc SAVIOZ,PDC,Oui/Ja,H,51,Sierre,20211005100144
Pierre SCHERTENLEIB,AdG,Oui/Ja,H,68,Sion,20211005100144
Flavio SCHMID,CSPO,Oui/Ja,H,36,Visp,20211005100144
Gerhard SCHMID,INDEP,Oui/Ja,H,73,Östlich Raron,20211005100144
Remo SCHNYDER,SVPO,Non/Nein,H,47,Brig,20211005100144
Raymonde SCHOCH,VLR,Abst./Enth.,F,70,St-Maurice,20211005100144
Alain SCHÖNBETT,VLR,Oui/Ja,H,66,Monthey,20211005100144
Martin SCHÜRCH,CVPO,Oui/Ja,H,49,Visp,20211005100144
Ruth STALDER,VLR,Oui/Ja,F,59,Sion,20211005100144
Bernard TROILLET,PDC,Oui/Ja,H,67,Martigny,20211005100144
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,28,Monthey,20211005100144
Romain UDRY,VLR,Non/Nein,H,29,Conthey,20211005100144
Grégoire VANNAY,PDC,Abst./Enth.,H,51,Monthey,20211005100144
Georges VIONNET,LES VERTS,Oui/Ja,H,68,Monthey,20211005100144
Jenny VOEFFRAY,PDC,Abst./Enth.,F,47,St-Maurice,20211005100144
Laurence VUAGNIAUX,LES VERTS,Oui/Ja,F,46,Sion,20211005100144
Côme VUILLE,VLR,Oui/Ja,H,34,Monthey,20211005100144
Joséphine WAEBER,PDC,Oui/Ja,F,37,Sierre,20211005100144
Rafael WELSCHEN,CVPO,Oui/Ja,H,33,Brig,20211005100144
Leander WILLINER,CSPO,Oui/Ja,H,68,Brig,20211005100144
Jean ZERMATTEN,AC,Oui/Ja,H,73,Sion,20211005100144
Rahel ZIMMERMANN,ZUK-VS,Oui/Ja,F,36,Visp,20211005100144
Marie ZUCHUAT,PDC,Oui/Ja,F,34,Sion,20211005100144
Fabian ZURBRIGGEN,SVPO,Non/Nein,H,47,Visp,20211005100144
Danica ZURBRIGGEN LEHNER,CSPO,Oui/Ja,F,41,Visp,20211005100144
Nicolas CHABLAIS,VLR,Aucun/Keine,H,33,Monthey,20211005100144
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Aucun/Keine,F,60,Sierre,20211005100144
Lucile CURDY,AdG,Aucun/Keine,F,22,Conthey,20211005100144
Corinne DUC BONVIN,AdG,Aucun/Keine,F,54,Sierre,20211005100144
Géraldine GIANADDA,VLR,Aucun/Keine,F,54,Martigny,20211005100144
Géraldine GRANGES-GUENOT,UDC,Aucun/Keine,F,46,Martigny,20211005100144
Christelle HERITIER,VLR,Aucun/Keine,F,36,Sion,20211005100144
Bernard OBERHOLZER,AC,Aucun/Keine,H,76,Monthey,20211005100144
Damien RABOUD,UDC,Aucun/Keine,H,35,Monthey,20211005100144
Fabien THETAZ,AdG,Aucun/Keine,H,35,Monthey,20211005100144
