name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,32,Visp,20201116104041
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,31,Brig,20201116104041
Romano AMACKER,SVPO,Oui/Ja,H,23,Westlich Raron,20201116104041
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,57,Brig,20201116104041
Gabrielle BARRAS,UDC,Non/Nein,F,57,Sion,20201116104041
Fabrice BENDER,VLR,Oui/Ja,H,51,St-Maurice,20201116104041
Léonard BENDER,AC,Abst./Enth.,H,52,Martigny,20201116104041
Philippe BENDER,VLR,Oui/Ja,H,70,Martigny,20201116104041
Vincent BOAND,UDC,Oui/Ja,H,35,Sion,20201116104041
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201116104041
Alex BONVIN,UDC,Oui/Ja,H,61,Sierre,20201116104041
Nicolas BONVIN,PDC,Oui/Ja,H,31,Sierre,20201116104041
Sophie BORNET,PDC,Oui/Ja,F,52,Conthey,20201116104041
Gaël BOURGEOIS,AdG,Non/Nein,H,37,Martigny,20201116104041
Hermann BRUNNER,CSPO,Non/Nein,H,66,Westlich Raron,20201116104041
Michael BURGENER,CVPO,Non/Nein,H,39,Visp,20201116104041
Paul BURGENER,CVPO,Oui/Ja,H,67,Visp,20201116104041
Peter BURRI,ZUK-VS,Non/Nein,H,55,Visp,20201116104041
Mathieu CALOZ,VLR,Oui/Ja,H,27,Sierre,20201116104041
Florine CARRON,LES VERTS,Oui/Ja,F,42,Martigny,20201116104041
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,47,Martigny,20201116104041
Patricia CASAYS,PDC,Oui/Ja,F,73,Monthey,20201116104041
Nicolas CHABLAIS,VLR,Oui/Ja,H,32,Monthey,20201116104041
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,73,Martigny,20201116104041
Stéphane CLAVIEN,VLR,Oui/Ja,H,63,Sierre,20201116104041
Damien CLERC,PDC,Oui/Ja,H,39,Conthey,20201116104041
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,59,Sierre,20201116104041
Adeline CRETTENAND,VLR,Oui/Ja,F,26,Martigny,20201116104041
Narcisse CRETTENAND,VLR,Oui/Ja,H,65,Martigny,20201116104041
Blaise CRETTOL,AC,Non/Nein,H,48,Sierre,20201116104041
Cilette CRETTON,AC,Non/Nein,F,75,Martigny,20201116104041
Lucile CURDY,AdG,Non/Nein,F,21,Conthey,20201116104041
Pierre DARBELLAY,PDC,Oui/Ja,H,32,Entremont,20201116104041
Ralph DESSIMOZ,PDC,Oui/Ja,H,56,Conthey,20201116104041
Arnaud DUBOIS,VLR,Oui/Ja,H,35,Monthey,20201116104041
Alain DUBOSSON,UDC,Oui/Ja,H,21,Monthey,20201116104041
Corinne DUC BONVIN,AdG,Non/Nein,F,53,Sierre,20201116104041
Sophie DUCREY,AC,Non/Nein,F,25,Monthey,20201116104041
Marius DUMOULIN,PDC,Oui/Ja,H,65,Sion,20201116104041
Jean-Marc DUPONT,AdG,Non/Nein,H,62,Martigny,20201116104041
Florian EVEQUOZ,AC,Non/Nein,H,39,Conthey,20201116104041
German EYER,ZUK-VS,Oui/Ja,H,59,Brig,20201116104041
Florent FAVRE,PDC,Non/Nein,H,26,Conthey,20201116104041
Mélanie FOLLONIER,VLR,Oui/Ja,F,28,Hérens,20201116104041
Sandro FONTANA,PDC,Oui/Ja,H,54,Monthey,20201116104041
Jérôme FORMAZ,UDC,Oui/Ja,H,44,Entremont,20201116104041
Sabine FOURNIER,LES VERTS,Oui/Ja,F,45,St-Maurice,20201116104041
Damien FUMEAUX,UDC,Oui/Ja,H,22,Conthey,20201116104041
Pascale FUMEAUX,AC,Non/Nein,F,38,Conthey,20201116104041
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,54,Hérens,20201116104041
Marc-Antoine GENOLET,UDC,Oui/Ja,H,56,Hérens,20201116104041
François GENOUD,VLR,Oui/Ja,H,68,Sierre,20201116104041
