name,group,vote,Genre,Âge,District,affairVoteId
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,33,Brig,20220901095941
Romano AMACKER,SVPO,Non/Nein,H,25,Westlich Raron,20220901095941
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Oui/Ja,F,59,Brig,20220901095941
Peter BÄHLER,SVPO,Non/Nein,H,69,Goms,20220901095941
Gabrielle BARRAS,UDC,Non/Nein,F,59,Sion,20220901095941
Léonard BENDER,AC,Abst./Enth.,H,54,Martigny,20220901095941
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20220901095941
Claudy BESSE,UDC,Oui/Ja,H,58,Monthey,20220901095941
Jacques BLANC,AC,Non/Nein,H,68,Hérens,20220901095941
Vincent BOAND,UDC,Non/Nein,H,37,Sion,20220901095941
Alex BONVIN,UDC,Non/Nein,H,63,Sierre,20220901095941
Nicolas BONVIN,Le Centre,Oui/Ja,H,33,Sierre,20220901095941
Sophie BORNET,Le Centre,Oui/Ja,F,54,Conthey,20220901095941
Gaël BOURGEOIS,PS-GC,Oui/Ja,H,39,Martigny,20220901095941
Hermann BRUNNER,CSPO,Oui/Ja,H,68,Westlich Raron,20220901095941
Michael BURGENER,Die Mitte Oberwallis,Oui/Ja,H,41,Visp,20220901095941
Paul BURGENER,Die Mitte Oberwallis,Oui/Ja,H,69,Visp,20220901095941
Peter BURRI,ZUK-VS,Oui/Ja,H,57,Visp,20220901095941
Mathieu CALOZ,VLR,Abst./Enth.,H,29,Sierre,20220901095941
Chantal CARLEN,Die Mitte Oberwallis,Oui/Ja,F,30,Goms,20220901095941
Florine CARRON,LES VERTS,Abst./Enth.,F,44,Martigny,20220901095941
Florence CARRON DARBELLAY,Le Centre,Oui/Ja,F,49,Martigny,20220901095941
Patricia CASAYS,Le Centre,Oui/Ja,F,75,Monthey,20220901095941
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,75,Martigny,20220901095941
Stéphane CLAVIEN,VLR,Abst./Enth.,H,65,Sierre,20220901095941
Damien CLERC,Le Centre,Oui/Ja,H,41,Conthey,20220901095941
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Abst./Enth.,F,61,Sierre,20220901095941
Adeline CRETTENAND,VLR,Oui/Ja,F,28,Martigny,20220901095941
Narcisse CRETTENAND,VLR,Oui/Ja,H,67,Martigny,20220901095941
Blaise CRETTOL,AC,Abst./Enth.,H,50,Sierre,20220901095941
Cilette CRETTON,AC,Abst./Enth.,F,77,Martigny,20220901095941
Lucile CURDY,PS-GC,Oui/Ja,F,23,Conthey,20220901095941
Alina DARBELLAY,LES VERTS,Abst./Enth.,F,55,Sion,20220901095941
Pierre DARBELLAY,Le Centre,Oui/Ja,H,34,Entremont,20220901095941
Olivier DERIVAZ,PS-GC,Oui/Ja,H,58,Monthey,20220901095941
Eric DESSIMOZ,LES VERTS,Oui/Ja,H,57,Conthey,20220901095941
Arnaud DUBOIS,VLR,Abst./Enth.,H,37,Monthey,20220901095941
Alain DUBOSSON,UDC,Oui/Ja,H,23,Monthey,20220901095941
Corinne DUC BONVIN,PS-GC,Oui/Ja,F,55,Sierre,20220901095941
Sophie DUCREY,AC,Abst./Enth.,F,27,Monthey,20220901095941
Marius DUMOULIN,Le Centre,Oui/Ja,H,67,Sion,20220901095941
Jean-Marc DUPONT,PS-GC,Oui/Ja,H,64,Martigny,20220901095941
Florian EVEQUOZ,AC,Abst./Enth.,H,41,Conthey,20220901095941
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20220901095941
Natascha FARQUET,VLR,Oui/Ja,F,40,Martigny,20220901095941
Florent FAVRE,Le Centre,Oui/Ja,H,28,Conthey,20220901095941
Mélanie FOLLONIER,VLR,Oui/Ja,F,30,Hérens,20220901095941
Sandro FONTANA,Le Centre,Oui/Ja,H,56,Monthey,20220901095941
Jérôme FORMAZ,UDC,Non/Nein,H,46,Entremont,20220901095941
Sabine FOURNIER,LES VERTS,Oui/Ja,F,47,St-Maurice,20220901095941
Damien FUMEAUX,UDC,Non/Nein,H,24,Conthey,20220901095941
Pascale FUMEAUX,AC,Abst./Enth.,F,40,Conthey,20220901095941
Sandro FUX,SVPO,Non/Nein,H,34,Brig,20220901095941
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,56,Hérens,20220901095941
Marc-Antoine GENOLET,UDC,Non/Nein,H,58,Hérens,20220901095941
François GENOUD,VLR,Oui/Ja,H,70,Sierre,20220901095941
Anne-Marie GRAND,Le Centre,Oui/Ja,F,50,Conthey,20220901095941
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,53,Martigny,20220901095941
Ida HÄFLIGER,CSPO,Oui/Ja,F,65,Visp,20220901095941
Christelle HERITIER,VLR,Oui/Ja,F,37,Sion,20220901095941
Lukas JÄGER,SVPO,Non/Nein,H,67,Leuk,20220901095941
Lukas KALBERMATTEN,Die Mitte Oberwallis,Oui/Ja,H,51,Westlich Raron,20220901095941
Dominik KNUBEL,Die Mitte Oberwallis,Abst./Enth.,H,42,Westlich Raron,20220901095941
Michael KREUZER,SVPO,Non/Nein,H,33,Visp,20220901095941
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,63,Leuk,20220901095941
Alain LÉGER,Le Centre,Oui/Ja,H,44,Martigny,20220901095941
Jean-François LOVEY,AC,Abst./Enth.,H,67,Entremont,20220901095941
Damien LUISIER,Le Centre,Oui/Ja,H,29,Martigny,20220901095941
Natacha MARET,Le Centre,Oui/Ja,F,39,Entremont,20220901095941
Rainer MATHIER,Die Mitte Oberwallis,Oui/Ja,H,65,Leuk,20220901095941
Thomas MATTER,CSPO,Oui/Ja,H,56,Leuk,20220901095941
Kamy MAY,Le Centre,Oui/Ja,F,28,Entremont,20220901095941
Nicolas METTAN,Le Centre,Oui/Ja,H,61,St-Maurice,20220901095941
Fabienne MURMANN,Die Mitte Oberwallis,Oui/Ja,F,41,Leuk,20220901095941
Jean-Daniel NANCHEN,LES VERTS,Abst./Enth.,H,65,Sierre,20220901095941
Claude NANÇOZ,VLR,Oui/Ja,H,70,Conthey,20220901095941
Edmond PERRUCHOUD,UDC,Non/Nein,H,75,Sierre,20220901095941
Bernard PIGNAT,VLR,Oui/Ja,H,69,Monthey,20220901095941
Frédéric PITTELOUD,Le Centre,Oui/Ja,H,47,Hérens,20220901095941
Géraldine POUGET-ZUFFEREY,Le Centre,Oui/Ja,F,32,Sierre,20220901095941
Emilie PRAZ,AC,Abst./Enth.,F,36,Sion,20220901095941
Damien RABOUD,UDC,Non/Nein,H,36,Monthey,20220901095941
Pierre-Alain RAEMY,VLR,Abst./Enth.,H,61,Sion,20220901095941
Kurt REGOTZ,CSPO,Oui/Ja,H,69,Brig,20220901095941
Jean-Pierre REY,VLR,Oui/Ja,H,59,Sierre,20220901095941
Caroline REYNARD,PS-GC,Oui/Ja,F,26,Sion,20220901095941
Janine REY-SIGGEN,PS-GC,Oui/Ja,F,62,Sierre,20220901095941
Jean-Yves RIAND,AC,Abst./Enth.,F,66,Sion,20220901095941
Johan ROCHEL,AC,Abst./Enth.,H,38,Monthey,20220901095941
Martine ROUILLER,AC,Abst./Enth.,F,40,St-Maurice,20220901095941
Christine ROUX,Le Centre,Oui/Ja,F,60,Sion,20220901095941
Felix RUPPEN,Die Mitte Oberwallis,Oui/Ja,H,61,Brig,20220901095941
Gérard SALAMIN,Le Centre,Oui/Ja,H,59,Sierre,20220901095941
Mathieu SARRASIN,VLR,Oui/Ja,H,61,Entremont,20220901095941
Jean-Marc SAVIOZ,Le Centre,Oui/Ja,H,52,Sierre,20220901095941
Pierre SCHERTENLEIB,PS-GC,Oui/Ja,H,69,Sion,20220901095941
Flavio SCHMID,CSPO,Oui/Ja,H,37,Visp,20220901095941
Remo SCHNYDER,SVPO,Non/Nein,H,48,Brig,20220901095941
Raymonde SCHOCH,VLR,Oui/Ja,F,71,St-Maurice,20220901095941
Alain SCHÖNBETT,VLR,Oui/Ja,H,67,Monthey,20220901095941
Martin SCHÜRCH,Die Mitte Oberwallis,Oui/Ja,H,50,Visp,20220901095941
Ruth STALDER,VLR,Oui/Ja,F,60,Sion,20220901095941
Fabien THETAZ,PS-GC,Abst./Enth.,H,36,Monthey,20220901095941
Bernard TROILLET,Le Centre,Oui/Ja,H,68,Martigny,20220901095941
Patrice TSCHOPP,Le Centre,Oui/Ja,H,70,Sion,20220901095941
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,29,Monthey,20220901095941
Romain UDRY,VLR,Oui/Ja,H,30,Conthey,20220901095941
