name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,32,Visp,20201106151812
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,31,Brig,20201106151812
Romano AMACKER,SVPO,Oui/Ja,H,23,Westlich Raron,20201106151812
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,57,Brig,20201106151812
Peter BÄHLER,SVPO,Oui/Ja,H,67,Goms,20201106151812
Gabrielle BARRAS,UDC,Non/Nein,F,57,Sion,20201106151812
Philippe BENDER,VLR,Oui/Ja,H,70,Martigny,20201106151812
Claudy BESSE,UDC,Non/Nein,H,56,Monthey,20201106151812
Vincent BOAND,UDC,Non/Nein,H,35,Sion,20201106151812
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201106151812
Alex BONVIN,UDC,Non/Nein,H,61,Sierre,20201106151812
Nicolas BONVIN,PDC,Oui/Ja,H,31,Sierre,20201106151812
Sophie BORNET,PDC,Oui/Ja,F,52,Conthey,20201106151812
Gaël BOURGEOIS,AdG,Oui/Ja,H,37,Martigny,20201106151812
Hermann BRUNNER,CSPO,Non/Nein,H,66,Westlich Raron,20201106151812
Michael BURGENER,CVPO,Non/Nein,H,39,Visp,20201106151812
Peter BURRI,ZUK-VS,Oui/Ja,H,55,Visp,20201106151812
Florine CARRON,LES VERTS,Oui/Ja,F,42,Martigny,20201106151812
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,47,Martigny,20201106151812
Patricia CASAYS,PDC,Oui/Ja,F,73,Monthey,20201106151812
Nicolas CHABLAIS,VLR,Oui/Ja,H,32,Monthey,20201106151812
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,73,Martigny,20201106151812
Stéphane CLAVIEN,VLR,Oui/Ja,H,63,Sierre,20201106151812
Damien CLERC,PDC,Oui/Ja,H,39,Conthey,20201106151812
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,59,Sierre,20201106151812
Adeline CRETTENAND,VLR,Oui/Ja,F,26,Martigny,20201106151812
Narcisse CRETTENAND,VLR,Oui/Ja,H,65,Martigny,20201106151812
Blaise CRETTOL,AC,Oui/Ja,H,48,Sierre,20201106151812
Cilette CRETTON,AC,Oui/Ja,F,75,Martigny,20201106151812
Lucile CURDY,AdG,Oui/Ja,F,21,Conthey,20201106151812
Arnaud DUBOIS,VLR,Oui/Ja,H,35,Monthey,20201106151812
Sophie DUCREY,AC,Oui/Ja,F,25,Monthey,20201106151812
Marius DUMOULIN,PDC,Oui/Ja,H,65,Sion,20201106151812
Jean-Marc DUPONT,AdG,Oui/Ja,H,62,Martigny,20201106151812
Florian EVEQUOZ,AC,Oui/Ja,H,39,Conthey,20201106151812
German EYER,ZUK-VS,Oui/Ja,H,59,Brig,20201106151812
Florent FAVRE,PDC,Non/Nein,H,26,Conthey,20201106151812
Mélanie FOLLONIER,VLR,Oui/Ja,F,28,Hérens,20201106151812
Sandro FONTANA,PDC,Oui/Ja,H,54,Monthey,20201106151812
Jérôme FORMAZ,UDC,Non/Nein,H,44,Entremont,20201106151812
Sabine FOURNIER,LES VERTS,Oui/Ja,F,45,St-Maurice,20201106151812
Damien FUMEAUX,UDC,Non/Nein,H,22,Conthey,20201106151812
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,54,Hérens,20201106151812
Marc-Antoine GENOLET,UDC,Non/Nein,H,56,Hérens,20201106151812
François GENOUD,VLR,Oui/Ja,H,68,Sierre,20201106151812
Géraldine GIANADDA,VLR,Oui/Ja,F,53,Martigny,20201106151812
Géraldine GRANGES-GUENOT,UDC,Non/Nein,F,45,Martigny,20201106151812
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,51,Martigny,20201106151812
Ida HÄFLIGER,CSPO,Non/Nein,F,63,Visp,20201106151812
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,46,Brig,20201106151812
Lukas KALBERMATTEN,CVPO,Non/Nein,H,49,Westlich Raron,20201106151812
Dominik KNUBEL,CVPO,Non/Nein,H,40,Westlich Raron,20201106151812
Michael KREUZER,SVPO,Non/Nein,H,31,Visp,20201106151812
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,61,Leuk,20201106151812
Jean-François LOVEY,AC,Oui/Ja,H,65,Entremont,20201106151812
Damien LUISIER,PDC,Oui/Ja,H,27,Martigny,20201106151812
Vincent LUYET,AC,Oui/Ja,H,43,Sion,20201106151812
Natacha MARET,PDC,Oui/Ja,F,37,Entremont,20201106151812
Rainer MATHIER,CVPO,Oui/Ja,H,63,Leuk,20201106151812
Thomas MATTER,CSPO,Non/Nein,H,54,Leuk,20201106151812
Kamy MAY,PDC,Oui/Ja,F,26,Entremont,20201106151812
Nicolas METTAN,PDC,Oui/Ja,H,59,St-Maurice,20201106151812
Fabienne MURMANN,CVPO,Non/Nein,F,39,Leuk,20201106151812
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,63,Sierre,20201106151812
Claude NANÇOZ,VLR,Oui/Ja,H,68,Conthey,20201106151812
Bernard OBERHOLZER,AC,Oui/Ja,H,75,Monthey,20201106151812
Géraldine POUGET-ZUFFEREY,PDC,Non/Nein,F,30,Sierre,20201106151812
François QUENNOZ,UDC,Non/Nein,H,27,Sion,20201106151812
Damien RABOUD,UDC,Non/Nein,H,34,Monthey,20201106151812
Pierre-Alain RAEMY,VLR,Oui/Ja,H,59,Sion,20201106151812
Célina RAMSAUER,AC,Oui/Ja,F,44,Sierre,20201106151812
Kurt REGOTZ,CSPO,Non/Nein,H,67,Brig,20201106151812
Jean-Pierre REY,VLR,Oui/Ja,H,57,Sierre,20201106151812
Caroline REYNARD,AdG,Oui/Ja,F,24,Sion,20201106151812
Janine REY-SIGGEN,AdG,Oui/Ja,F,60,Sierre,20201106151812
Johan ROCHEL,AC,Oui/Ja,H,36,Monthey,20201106151812
Yann RODUIT,PDC,Oui/Ja,H,46,Sion,20201106151812
Gérard SALAMIN,PDC,Oui/Ja,H,57,Sierre,20201106151812
Jean-Marc SAVIOZ,PDC,Oui/Ja,H,50,Sierre,20201106151812
Pierre SCHERTENLEIB,AdG,Oui/Ja,H,67,Sion,20201106151812
Flavio SCHMID,CSPO,Non/Nein,H,35,Visp,20201106151812
Gerhard SCHMID,CVPO,Non/Nein,H,72,Östlich Raron,20201106151812
Remo SCHNYDER,SVPO,Oui/Ja,H,46,Brig,20201106151812
Alain SCHÖNBETT,VLR,Oui/Ja,H,65,Monthey,20201106151812
Martin SCHÜRCH,CVPO,Non/Nein,H,48,Visp,20201106151812
Ruth STALDER,VLR,Oui/Ja,F,58,Sion,20201106151812
Fabien THETAZ,AdG,Oui/Ja,H,34,Monthey,20201106151812
Bernard TROILLET,PDC,Oui/Ja,H,66,Martigny,20201106151812
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,27,Monthey,20201106151812
Romain UDRY,VLR,Oui/Ja,H,28,Conthey,20201106151812
Grégoire VANNAY,PDC,Oui/Ja,H,50,Monthey,20201106151812
