name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,33,Visp,20211005152803
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,32,Brig,20211005152803
Romano AMACKER,SVPO,Non/Nein,H,24,Westlich Raron,20211005152803
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,58,Brig,20211005152803
Peter BÄHLER,SVPO,Non/Nein,H,68,Goms,20211005152803
Gabrielle BARRAS,UDC,Non/Nein,F,58,Sion,20211005152803
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20211005152803
Philippe BENDER,VLR,Abst./Enth.,H,71,Martigny,20211005152803
Claudy BESSE,UDC,Non/Nein,H,57,Monthey,20211005152803
Jacques BLANC,AC,Abst./Enth.,H,67,Hérens,20211005152803
Vincent BOAND,UDC,Non/Nein,H,36,Sion,20211005152803
Jean BONNARD,AC,Oui/Ja,H,72,Sion,20211005152803
Alex BONVIN,UDC,Non/Nein,H,62,Sierre,20211005152803
Nicolas BONVIN,PDC,Abst./Enth.,H,32,Sierre,20211005152803
Sophie BORNET,PDC,Abst./Enth.,F,53,Conthey,20211005152803
Gaël BOURGEOIS,AdG,Oui/Ja,H,38,Martigny,20211005152803
Hermann BRUNNER,CSPO,Oui/Ja,H,67,Westlich Raron,20211005152803
Michael BURGENER,CVPO,Abst./Enth.,H,40,Visp,20211005152803
Paul BURGENER,CVPO,Oui/Ja,H,68,Visp,20211005152803
Peter BURRI,ZUK-VS,Oui/Ja,H,56,Visp,20211005152803
Mathieu CALOZ,VLR,Oui/Ja,H,28,Sierre,20211005152803
Chantal CARLEN,CVPO,Non/Nein,F,29,Goms,20211005152803
Florine CARRON,LES VERTS,Oui/Ja,F,43,Martigny,20211005152803
Florence CARRON DARBELLAY,PDC,Abst./Enth.,F,48,Martigny,20211005152803
Patricia CASAYS,PDC,Non/Nein,F,74,Monthey,20211005152803
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,74,Martigny,20211005152803
Stéphane CLAVIEN,VLR,Oui/Ja,H,64,Sierre,20211005152803
Damien CLERC,PDC,Abst./Enth.,H,40,Conthey,20211005152803
Adeline CRETTENAND,VLR,Oui/Ja,F,27,Martigny,20211005152803
Narcisse CRETTENAND,VLR,Oui/Ja,H,66,Martigny,20211005152803
Blaise CRETTOL,AC,Oui/Ja,H,49,Sierre,20211005152803
Cilette CRETTON,AC,Oui/Ja,F,76,Martigny,20211005152803
Alina DARBELLAY,LES VERTS,Oui/Ja,F,54,Sion,20211005152803
Pierre DARBELLAY,PDC,Non/Nein,H,33,Entremont,20211005152803
Olivier DERIVAZ,AdG,Oui/Ja,H,57,Monthey,20211005152803
Ralph DESSIMOZ,PDC,Abst./Enth.,H,57,Conthey,20211005152803
Arnaud DUBOIS,VLR,Oui/Ja,H,36,Monthey,20211005152803
Alain DUBOSSON,UDC,Non/Nein,H,22,Monthey,20211005152803
Corinne DUC BONVIN,AdG,Oui/Ja,F,54,Sierre,20211005152803
Sophie DUCREY,AC,Oui/Ja,F,26,Monthey,20211005152803
Marius DUMOULIN,PDC,Abst./Enth.,H,66,Sion,20211005152803
Jean-Marc DUPONT,AdG,Oui/Ja,H,63,Martigny,20211005152803
Christian ESCHER,CSPO,Oui/Ja,H,42,Brig,20211005152803
Florian EVEQUOZ,AC,Oui/Ja,H,40,Conthey,20211005152803
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20211005152803
Natascha FARQUET,VLR,Oui/Ja,F,39,Martigny,20211005152803
Florent FAVRE,PDC,Abst./Enth.,H,27,Conthey,20211005152803
Mélanie FOLLONIER,VLR,Oui/Ja,F,29,Hérens,20211005152803
Sandro FONTANA,PDC,Non/Nein,H,55,Monthey,20211005152803
Jérôme FORMAZ,UDC,Non/Nein,H,45,Entremont,20211005152803
Sabine FOURNIER,LES VERTS,Oui/Ja,F,46,St-Maurice,20211005152803
Damien FUMEAUX,UDC,Non/Nein,H,24,Conthey,20211005152803
Pascale FUMEAUX,AC,Oui/Ja,F,39,Conthey,20211005152803
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,55,Hérens,20211005152803
Marc-Antoine GENOLET,UDC,Non/Nein,H,57,Hérens,20211005152803
François GENOUD,VLR,Oui/Ja,H,69,Sierre,20211005152803
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,52,Martigny,20211005152803
Ida HÄFLIGER,CSPO,Oui/Ja,F,64,Visp,20211005152803
Christelle HERITIER,VLR,Oui/Ja,F,36,Sion,20211005152803
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,47,Brig,20211005152803
Lukas JÄGER,SVPO,Non/Nein,H,66,Leuk,20211005152803
Lukas KALBERMATTEN,CVPO,Non/Nein,H,50,Westlich Raron,20211005152803
Dominik KNUBEL,CVPO,Abst./Enth.,H,41,Westlich Raron,20211005152803
Michael KREUZER,SVPO,Non/Nein,H,32,Visp,20211005152803
Ralph KUMMER,SVPO,Non/Nein,H,43,Brig,20211005152803
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,62,Leuk,20211005152803
Alain LÉGER,PDC,Non/Nein,H,43,Martigny,20211005152803
Jean-François LOVEY,AC,Oui/Ja,H,67,Entremont,20211005152803
Damien LUISIER,PDC,Non/Nein,H,28,Martigny,20211005152803
Vincent LUYET,AC,Oui/Ja,H,44,Sion,20211005152803
Natacha MARET,PDC,Abst./Enth.,F,38,Entremont,20211005152803
Rainer MATHIER,CVPO,Non/Nein,H,64,Leuk,20211005152803
Thomas MATTER,CSPO,Oui/Ja,H,55,Leuk,20211005152803
Kamy MAY,PDC,Non/Nein,F,27,Entremont,20211005152803
Nicolas METTAN,PDC,Oui/Ja,H,60,St-Maurice,20211005152803
Fabienne MURMANN,CVPO,Non/Nein,F,40,Leuk,20211005152803
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,64,Sierre,20211005152803
Claude NANÇOZ,VLR,Non/Nein,H,69,Conthey,20211005152803
Edmond PERRUCHOUD,UDC,Non/Nein,H,74,Sierre,20211005152803
Frédéric PITTELOUD,PDC,Oui/Ja,H,46,Hérens,20211005152803
Géraldine POUGET-ZUFFEREY,PDC,Non/Nein,F,31,Sierre,20211005152803
Emilie PRAZ,AC,Oui/Ja,F,35,Sion,20211005152803
François QUENNOZ,UDC,Non/Nein,H,28,Sion,20211005152803
Damien RABOUD,UDC,Non/Nein,H,35,Monthey,20211005152803
Pierre-Alain RAEMY,VLR,Oui/Ja,H,60,Sion,20211005152803
Célina RAMSAUER,AC,Oui/Ja,F,45,Sierre,20211005152803
Kurt REGOTZ,CSPO,Abst./Enth.,H,68,Brig,20211005152803
Jean-Pierre REY,VLR,Oui/Ja,H,59,Sierre,20211005152803
Caroline REYNARD,AdG,Oui/Ja,F,25,Sion,20211005152803
Janine REY-SIGGEN,AdG,Oui/Ja,F,61,Sierre,20211005152803
Johan ROCHEL,AC,Oui/Ja,H,38,Monthey,20211005152803
Yann RODUIT,PDC,Abst./Enth.,H,47,Sion,20211005152803
Martine ROUILLER,AC,Oui/Ja,F,39,St-Maurice,20211005152803
Léa ROUILLER DESSIMOZ,LES VERTS,Oui/Ja,F,21,Conthey,20211005152803
Christine ROUX,PDC,Abst./Enth.,F,59,Sion,20211005152803
Felix RUPPEN,CVPO,Oui/Ja,H,60,Brig,20211005152803
Gérard SALAMIN,PDC,Abst./Enth.,H,58,Sierre,20211005152803
Mathieu SARRASIN,VLR,Abst./Enth.,H,60,Entremont,20211005152803
Jean-Marc SAVIOZ,PDC,Non/Nein,H,51,Sierre,20211005152803
Pierre SCHERTENLEIB,AdG,Oui/Ja,H,68,Sion,20211005152803
Gerhard SCHMID,INDEP,Oui/Ja,H,73,Östlich Raron,20211005152803
Remo SCHNYDER,SVPO,Non/Nein,H,47,Brig,20211005152803
Raymonde SCHOCH,VLR,Oui/Ja,F,70,St-Maurice,20211005152803
Alain SCHÖNBETT,VLR,Abst./Enth.,H,66,Monthey,20211005152803
Martin SCHÜRCH,CVPO,Non/Nein,H,49,Visp,20211005152803
Ruth STALDER,VLR,Oui/Ja,F,59,Sion,20211005152803
Bernard TROILLET,PDC,Non/Nein,H,67,Martigny,20211005152803
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,28,Monthey,20211005152803
Romain UDRY,VLR,Non/Nein,H,29,Conthey,20211005152803
Grégoire VANNAY,PDC,Abst./Enth.,H,51,Monthey,20211005152803
Georges VIONNET,LES VERTS,Oui/Ja,H,68,Monthey,20211005152803
Jenny VOEFFRAY,PDC,Oui/Ja,F,47,St-Maurice,20211005152803
Laurence VUAGNIAUX,LES VERTS,Abst./Enth.,F,46,Sion,20211005152803
Côme VUILLE,VLR,Oui/Ja,H,34,Monthey,20211005152803
Joséphine WAEBER,PDC,Non/Nein,F,37,Sierre,20211005152803
Rafael WELSCHEN,CVPO,Non/Nein,H,33,Brig,20211005152803
Leander WILLINER,CSPO,Abst./Enth.,H,68,Brig,20211005152803
Jean ZERMATTEN,AC,Oui/Ja,H,73,Sion,20211005152803
Rahel ZIMMERMANN,ZUK-VS,Oui/Ja,F,36,Visp,20211005152803
Marie ZUCHUAT,PDC,Abst./Enth.,F,34,Sion,20211005152803
Fabian ZURBRIGGEN,SVPO,Non/Nein,H,47,Visp,20211005152803
Danica ZURBRIGGEN LEHNER,CSPO,Oui/Ja,F,41,Visp,20211005152803
Nicolas CHABLAIS,VLR,Aucun/Keine,H,33,Monthey,20211005152803
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Aucun/Keine,F,60,Sierre,20211005152803
Lucile CURDY,AdG,Aucun/Keine,F,22,Conthey,20211005152803
Géraldine GIANADDA,VLR,Aucun/Keine,F,54,Martigny,20211005152803
Géraldine GRANGES-GUENOT,UDC,Aucun/Keine,F,46,Martigny,20211005152803
Bernard OBERHOLZER,AC,Aucun/Keine,H,76,Monthey,20211005152803
Flavio SCHMID,CSPO,Aucun/Keine,H,36,Visp,20211005152803
Fabien THETAZ,AdG,Aucun/Keine,H,35,Monthey,20211005152803
