name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,32,Visp,20201106104416
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,31,Brig,20201106104416
Romano AMACKER,SVPO,Non/Nein,H,23,Westlich Raron,20201106104416
Maria ARNOLD-ESCHER,CVPO,Oui/Ja,F,57,Brig,20201106104416
Peter BÄHLER,SVPO,Oui/Ja,H,67,Goms,20201106104416
Gabrielle BARRAS,UDC,Non/Nein,F,57,Sion,20201106104416
Fabrice BENDER,VLR,Non/Nein,H,51,St-Maurice,20201106104416
Philippe BENDER,VLR,Non/Nein,H,70,Martigny,20201106104416
Claudy BESSE,UDC,Non/Nein,H,56,Monthey,20201106104416
Vincent BOAND,UDC,Non/Nein,H,35,Sion,20201106104416
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201106104416
Alex BONVIN,UDC,Non/Nein,H,61,Sierre,20201106104416
Nicolas BONVIN,PDC,Non/Nein,H,31,Sierre,20201106104416
Sophie BORNET,PDC,Non/Nein,F,52,Conthey,20201106104416
Gaël BOURGEOIS,AdG,Oui/Ja,H,37,Martigny,20201106104416
Hermann BRUNNER,CSPO,Oui/Ja,H,66,Westlich Raron,20201106104416
Michael BURGENER,CVPO,Oui/Ja,H,39,Visp,20201106104416
Peter BURRI,ZUK-VS,Non/Nein,H,55,Visp,20201106104416
Florine CARRON,LES VERTS,Oui/Ja,F,42,Martigny,20201106104416
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,47,Martigny,20201106104416
Patricia CASAYS,PDC,Non/Nein,F,73,Monthey,20201106104416
Nicolas CHABLAIS,VLR,Non/Nein,H,32,Monthey,20201106104416
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,73,Martigny,20201106104416
Stéphane CLAVIEN,VLR,Non/Nein,H,63,Sierre,20201106104416
Damien CLERC,PDC,Non/Nein,H,39,Conthey,20201106104416
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,59,Sierre,20201106104416
Adeline CRETTENAND,VLR,Non/Nein,F,26,Martigny,20201106104416
Narcisse CRETTENAND,VLR,Non/Nein,H,65,Martigny,20201106104416
Blaise CRETTOL,AC,Non/Nein,H,48,Sierre,20201106104416
Cilette CRETTON,AC,Oui/Ja,F,75,Martigny,20201106104416
Lucile CURDY,AdG,Oui/Ja,F,21,Conthey,20201106104416
Arnaud DUBOIS,VLR,Non/Nein,H,35,Monthey,20201106104416
Sophie DUCREY,AC,Oui/Ja,F,25,Monthey,20201106104416
Marius DUMOULIN,PDC,Non/Nein,H,65,Sion,20201106104416
Jean-Marc DUPONT,AdG,Oui/Ja,H,62,Martigny,20201106104416
Florian EVEQUOZ,AC,Oui/Ja,H,39,Conthey,20201106104416
German EYER,ZUK-VS,Oui/Ja,H,59,Brig,20201106104416
Mélanie FOLLONIER,VLR,Non/Nein,F,28,Hérens,20201106104416
Sandro FONTANA,PDC,Oui/Ja,H,54,Monthey,20201106104416
Jérôme FORMAZ,UDC,Non/Nein,H,44,Entremont,20201106104416
Sabine FOURNIER,LES VERTS,Oui/Ja,F,45,St-Maurice,20201106104416
Damien FUMEAUX,UDC,Non/Nein,H,22,Conthey,20201106104416
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,54,Hérens,20201106104416
Marc-Antoine GENOLET,UDC,Non/Nein,H,56,Hérens,20201106104416
François GENOUD,VLR,Non/Nein,H,68,Sierre,20201106104416
Géraldine GIANADDA,VLR,Non/Nein,F,53,Martigny,20201106104416
Géraldine GRANGES-GUENOT,UDC,Non/Nein,F,45,Martigny,20201106104416
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,51,Martigny,20201106104416
Ida HÄFLIGER,CSPO,Oui/Ja,F,63,Visp,20201106104416
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,46,Brig,20201106104416
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,49,Westlich Raron,20201106104416
Michael KREUZER,SVPO,Non/Nein,H,31,Visp,20201106104416
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,61,Leuk,20201106104416
Jean-François LOVEY,AC,Oui/Ja,H,65,Entremont,20201106104416
Damien LUISIER,PDC,Non/Nein,H,27,Martigny,20201106104416
Vincent LUYET,AC,Oui/Ja,H,43,Sion,20201106104416
Natacha MARET,PDC,Non/Nein,F,37,Entremont,20201106104416
Rainer MATHIER,CVPO,Oui/Ja,H,63,Leuk,20201106104416
Thomas MATTER,CSPO,Oui/Ja,H,54,Leuk,20201106104416
Kamy MAY,PDC,Non/Nein,F,26,Entremont,20201106104416
Nicolas METTAN,PDC,Abst./Enth.,H,59,St-Maurice,20201106104416
Fabienne MURMANN,CVPO,Non/Nein,F,39,Leuk,20201106104416
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,63,Sierre,20201106104416
Claude NANÇOZ,VLR,Non/Nein,H,68,Conthey,20201106104416
Bernard OBERHOLZER,AC,Oui/Ja,H,75,Monthey,20201106104416
Géraldine POUGET-ZUFFEREY,PDC,Non/Nein,F,30,Sierre,20201106104416
François QUENNOZ,UDC,Non/Nein,H,27,Sion,20201106104416
Damien RABOUD,UDC,Non/Nein,H,34,Monthey,20201106104416
Pierre-Alain RAEMY,VLR,Oui/Ja,H,59,Sion,20201106104416
Célina RAMSAUER,AC,Oui/Ja,F,44,Sierre,20201106104416
Kurt REGOTZ,CSPO,Oui/Ja,H,67,Brig,20201106104416
Jean-Pierre REY,VLR,Oui/Ja,H,57,Sierre,20201106104416
Caroline REYNARD,AdG,Oui/Ja,F,24,Sion,20201106104416
Janine REY-SIGGEN,AdG,Oui/Ja,F,60,Sierre,20201106104416
Johan ROCHEL,AC,Oui/Ja,H,36,Monthey,20201106104416
Yann RODUIT,PDC,Non/Nein,H,46,Sion,20201106104416
Gérard SALAMIN,PDC,Non/Nein,H,57,Sierre,20201106104416
Mathieu SARRASIN,VLR,Oui/Ja,H,59,Entremont,20201106104416
Jean-Marc SAVIOZ,PDC,Non/Nein,H,50,Sierre,20201106104416
Pierre SCHERTENLEIB,AdG,Oui/Ja,H,67,Sion,20201106104416
Flavio SCHMID,CSPO,Non/Nein,H,35,Visp,20201106104416
Gerhard SCHMID,CVPO,Oui/Ja,H,72,Östlich Raron,20201106104416
Remo SCHNYDER,SVPO,Non/Nein,H,46,Brig,20201106104416
Alain SCHÖNBETT,VLR,Non/Nein,H,65,Monthey,20201106104416
Martin SCHÜRCH,CVPO,Non/Nein,H,48,Visp,20201106104416
Ruth STALDER,VLR,Non/Nein,F,58,Sion,20201106104416
Fabien THETAZ,AdG,Oui/Ja,H,34,Monthey,20201106104416
Bernard TROILLET,PDC,Non/Nein,H,66,Martigny,20201106104416
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,27,Monthey,20201106104416
Romain UDRY,VLR,Non/Nein,H,28,Conthey,20201106104416
