name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,33,Visp,20211019114827
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,32,Brig,20211019114827
Romano AMACKER,SVPO,Non/Nein,H,24,Westlich Raron,20211019114827
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,58,Brig,20211019114827
Peter BÄHLER,SVPO,Non/Nein,H,68,Goms,20211019114827
Gabrielle BARRAS,UDC,Non/Nein,F,58,Sion,20211019114827
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20211019114827
Philippe BENDER,VLR,Oui/Ja,H,71,Martigny,20211019114827
Claudy BESSE,UDC,Non/Nein,H,57,Monthey,20211019114827
Vincent BOAND,UDC,Non/Nein,H,36,Sion,20211019114827
Jean BONNARD,AC,Oui/Ja,H,72,Sion,20211019114827
Alex BONVIN,UDC,Non/Nein,H,62,Sierre,20211019114827
Nicolas BONVIN,PDC,Oui/Ja,H,32,Sierre,20211019114827
Hermann BRUNNER,CSPO,Oui/Ja,H,67,Westlich Raron,20211019114827
Michael BURGENER,CVPO,Non/Nein,H,40,Visp,20211019114827
Peter BURRI,ZUK-VS,Non/Nein,H,56,Visp,20211019114827
Mathieu CALOZ,VLR,Abst./Enth.,H,28,Sierre,20211019114827
Florine CARRON,LES VERTS,Oui/Ja,F,43,Martigny,20211019114827
Florence CARRON DARBELLAY,PDC,Non/Nein,F,48,Martigny,20211019114827
Patricia CASAYS,PDC,Oui/Ja,F,74,Monthey,20211019114827
Nicolas CHABLAIS,VLR,Oui/Ja,H,33,Monthey,20211019114827
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,74,Martigny,20211019114827
Stéphane CLAVIEN,VLR,Oui/Ja,H,64,Sierre,20211019114827
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,60,Sierre,20211019114827
Adeline CRETTENAND,VLR,Oui/Ja,F,27,Martigny,20211019114827
Narcisse CRETTENAND,VLR,Oui/Ja,H,66,Martigny,20211019114827
Blaise CRETTOL,AC,Oui/Ja,H,49,Sierre,20211019114827
Cilette CRETTON,AC,Oui/Ja,F,76,Martigny,20211019114827
Lucile CURDY,AdG,Oui/Ja,F,22,Conthey,20211019114827
Pierre DARBELLAY,PDC,Non/Nein,H,33,Entremont,20211019114827
Olivier DERIVAZ,AdG,Oui/Ja,H,57,Monthey,20211019114827
Ralph DESSIMOZ,PDC,Non/Nein,H,57,Conthey,20211019114827
Arnaud DUBOIS,VLR,Oui/Ja,H,36,Monthey,20211019114827
Alain DUBOSSON,UDC,Non/Nein,H,22,Monthey,20211019114827
Corinne DUC BONVIN,AdG,Oui/Ja,F,54,Sierre,20211019114827
Sophie DUCREY,AC,Oui/Ja,F,26,Monthey,20211019114827
Marius DUMOULIN,PDC,Non/Nein,H,66,Sion,20211019114827
Jean-Marc DUPONT,AdG,Oui/Ja,H,63,Martigny,20211019114827
Christian ESCHER,CSPO,Oui/Ja,H,42,Brig,20211019114827
Florian EVEQUOZ,AC,Oui/Ja,H,40,Conthey,20211019114827
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20211019114827
Natascha FARQUET,VLR,Oui/Ja,F,39,Martigny,20211019114827
Florent FAVRE,PDC,Oui/Ja,H,27,Conthey,20211019114827
Mélanie FOLLONIER,VLR,Oui/Ja,F,29,Hérens,20211019114827
Sandro FONTANA,PDC,Abst./Enth.,H,55,Monthey,20211019114827
Jérôme FORMAZ,UDC,Non/Nein,H,45,Entremont,20211019114827
Sabine FOURNIER,LES VERTS,Oui/Ja,F,46,St-Maurice,20211019114827
Damien FUMEAUX,UDC,Non/Nein,H,24,Conthey,20211019114827
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,55,Hérens,20211019114827
Marc-Antoine GENOLET,UDC,Non/Nein,H,57,Hérens,20211019114827
François GENOUD,VLR,Oui/Ja,H,69,Sierre,20211019114827
Géraldine GIANADDA,VLR,Oui/Ja,F,54,Martigny,20211019114827
Géraldine GRANGES-GUENOT,UDC,Non/Nein,F,46,Martigny,20211019114827
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,52,Martigny,20211019114827
Ida HÄFLIGER,CSPO,Oui/Ja,F,64,Visp,20211019114827
Christelle HERITIER,VLR,Oui/Ja,F,36,Sion,20211019114827
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,47,Brig,20211019114827
Lukas JÄGER,SVPO,Non/Nein,H,66,Leuk,20211019114827
Dominik KNUBEL,CVPO,Oui/Ja,H,41,Westlich Raron,20211019114827
Michael KREUZER,SVPO,Non/Nein,H,32,Visp,20211019114827
Ralph KUMMER,SVPO,Non/Nein,H,43,Brig,20211019114827
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,62,Leuk,20211019114827
Alain LÉGER,PDC,Non/Nein,H,43,Martigny,20211019114827
Jean-François LOVEY,AC,Oui/Ja,H,67,Entremont,20211019114827
Damien LUISIER,PDC,Non/Nein,H,28,Martigny,20211019114827
Vincent LUYET,AC,Oui/Ja,H,44,Sion,20211019114827
Natacha MARET,PDC,Oui/Ja,F,38,Entremont,20211019114827
Rainer MATHIER,CVPO,Non/Nein,H,64,Leuk,20211019114827
Thomas MATTER,CSPO,Oui/Ja,H,55,Leuk,20211019114827
Kamy MAY,PDC,Non/Nein,F,27,Entremont,20211019114827
Nicolas METTAN,PDC,Oui/Ja,H,60,St-Maurice,20211019114827
Fabienne MURMANN,CVPO,Non/Nein,F,40,Leuk,20211019114827
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,64,Sierre,20211019114827
Bernard OBERHOLZER,AC,Oui/Ja,H,76,Monthey,20211019114827
Edmond PERRUCHOUD,UDC,Non/Nein,H,74,Sierre,20211019114827
Frédéric PITTELOUD,PDC,Non/Nein,H,46,Hérens,20211019114827
Géraldine POUGET-ZUFFEREY,PDC,Non/Nein,F,31,Sierre,20211019114827
Emilie PRAZ,AC,Oui/Ja,F,35,Sion,20211019114827
François QUENNOZ,UDC,Non/Nein,H,28,Sion,20211019114827
Damien RABOUD,UDC,Non/Nein,H,35,Monthey,20211019114827
Pierre-Alain RAEMY,VLR,Oui/Ja,H,60,Sion,20211019114827
Célina RAMSAUER,AC,Oui/Ja,F,45,Sierre,20211019114827
Caroline REYNARD,AdG,Oui/Ja,F,25,Sion,20211019114827
Janine REY-SIGGEN,AdG,Oui/Ja,F,61,Sierre,20211019114827
Johan ROCHEL,AC,Oui/Ja,H,38,Monthey,20211019114827
Yann RODUIT,PDC,Non/Nein,H,47,Sion,20211019114827
Martine ROUILLER,AC,Oui/Ja,F,39,St-Maurice,20211019114827
Léa ROUILLER DESSIMOZ,LES VERTS,Oui/Ja,F,21,Conthey,20211019114827
Christine ROUX,PDC,Non/Nein,F,59,Sion,20211019114827
Felix RUPPEN,CVPO,Non/Nein,H,60,Brig,20211019114827
Gérard SALAMIN,PDC,Abst./Enth.,H,58,Sierre,20211019114827
Mathieu SARRASIN,VLR,Oui/Ja,H,60,Entremont,20211019114827
Jean-Marc SAVIOZ,PDC,Oui/Ja,H,51,Sierre,20211019114827
Pierre SCHERTENLEIB,AdG,Oui/Ja,H,68,Sion,20211019114827
Gerhard SCHMID,INDEP,Oui/Ja,H,73,Östlich Raron,20211019114827
Raymonde SCHOCH,VLR,Oui/Ja,F,70,St-Maurice,20211019114827
Alain SCHÖNBETT,VLR,Oui/Ja,H,66,Monthey,20211019114827
Martin SCHÜRCH,CVPO,Non/Nein,H,49,Visp,20211019114827
Ruth STALDER,VLR,Oui/Ja,F,59,Sion,20211019114827
Fabien THETAZ,AdG,Oui/Ja,H,35,Monthey,20211019114827
Bernard TROILLET,PDC,Oui/Ja,H,67,Martigny,20211019114827
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,28,Monthey,20211019114827
Grégoire VANNAY,PDC,Oui/Ja,H,51,Monthey,20211019114827
Georges VIONNET,LES VERTS,Oui/Ja,H,68,Monthey,20211019114827
Laurence VUAGNIAUX,LES VERTS,Oui/Ja,F,46,Sion,20211019114827
Côme VUILLE,VLR,Oui/Ja,H,34,Monthey,20211019114827
Joséphine WAEBER,PDC,Non/Nein,F,37,Sierre,20211019114827
Rafael WELSCHEN,CVPO,Non/Nein,H,33,Brig,20211019114827
Leander WILLINER,CSPO,Oui/Ja,H,68,Brig,20211019114827
Jean ZERMATTEN,AC,Oui/Ja,H,73,Sion,20211019114827
Rahel ZIMMERMANN,ZUK-VS,Oui/Ja,F,36,Visp,20211019114827
Marie ZUCHUAT,PDC,Non/Nein,F,34,Sion,20211019114827
Fabian ZURBRIGGEN,SVPO,Non/Nein,H,47,Visp,20211019114827
Danica ZURBRIGGEN LEHNER,CSPO,Oui/Ja,F,41,Visp,20211019114827
Jacques BLANC,AC,Aucun/Keine,H,67,Hérens,20211019114827
Sophie BORNET,PDC,Aucun/Keine,F,53,Conthey,20211019114827
Gaël BOURGEOIS,AdG,Aucun/Keine,H,38,Martigny,20211019114827
Paul BURGENER,CVPO,Aucun/Keine,H,68,Visp,20211019114827
Chantal CARLEN,CVPO,Aucun/Keine,F,29,Goms,20211019114827
Damien CLERC,PDC,Aucun/Keine,H,40,Conthey,20211019114827
Alina DARBELLAY,LES VERTS,Aucun/Keine,F,54,Sion,20211019114827
Pascale FUMEAUX,AC,Aucun/Keine,F,39,Conthey,20211019114827
Lukas KALBERMATTEN,CVPO,Aucun/Keine,H,50,Westlich Raron,20211019114827
Claude NANÇOZ,VLR,Aucun/Keine,H,69,Conthey,20211019114827
Kurt REGOTZ,CSPO,Aucun/Keine,H,68,Brig,20211019114827
Jean-Pierre REY,VLR,Aucun/Keine,H,59,Sierre,20211019114827
Flavio SCHMID,CSPO,Aucun/Keine,H,36,Visp,20211019114827
Remo SCHNYDER,SVPO,Aucun/Keine,H,47,Brig,20211019114827
Romain UDRY,VLR,Aucun/Keine,H,29,Conthey,20211019114827
Jenny VOEFFRAY,PDC,Aucun/Keine,F,47,St-Maurice,20211019114827
