name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,33,Visp,20211104093957
Claudia ALPIGER,ZUK-VS,Non/Nein,F,32,Brig,20211104093957
Romano AMACKER,SVPO,Non/Nein,H,24,Westlich Raron,20211104093957
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,58,Brig,20211104093957
Gabrielle BARRAS,UDC,Non/Nein,F,58,Sion,20211104093957
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20211104093957
Philippe BENDER,VLR,Oui/Ja,H,71,Martigny,20211104093957
Vincent BOAND,UDC,Non/Nein,H,36,Sion,20211104093957
Jean BONNARD,AC,Oui/Ja,H,72,Sion,20211104093957
Alex BONVIN,UDC,Non/Nein,H,62,Sierre,20211104093957
Nicolas BONVIN,PDC,Non/Nein,H,32,Sierre,20211104093957
Sophie BORNET,PDC,Oui/Ja,F,53,Conthey,20211104093957
Gaël BOURGEOIS,AdG,Oui/Ja,H,38,Martigny,20211104093957
Hermann BRUNNER,CSPO,Non/Nein,H,67,Westlich Raron,20211104093957
Michael BURGENER,CVPO,Non/Nein,H,40,Visp,20211104093957
Paul BURGENER,CVPO,Non/Nein,H,68,Visp,20211104093957
Peter BURRI,ZUK-VS,Non/Nein,H,56,Visp,20211104093957
Mathieu CALOZ,VLR,Oui/Ja,H,28,Sierre,20211104093957
Florine CARRON,LES VERTS,Oui/Ja,F,43,Martigny,20211104093957
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,48,Martigny,20211104093957
Patricia CASAYS,PDC,Oui/Ja,F,74,Monthey,20211104093957
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,74,Martigny,20211104093957
Stéphane CLAVIEN,VLR,Oui/Ja,H,64,Sierre,20211104093957
Damien CLERC,PDC,Oui/Ja,H,40,Conthey,20211104093957
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,60,Sierre,20211104093957
Adeline CRETTENAND,VLR,Oui/Ja,F,27,Martigny,20211104093957
Narcisse CRETTENAND,VLR,Oui/Ja,H,66,Martigny,20211104093957
Blaise CRETTOL,AC,Oui/Ja,H,49,Sierre,20211104093957
Cilette CRETTON,AC,Oui/Ja,F,76,Martigny,20211104093957
Lucile CURDY,AdG,Oui/Ja,F,22,Conthey,20211104093957
Pierre DARBELLAY,PDC,Oui/Ja,H,33,Entremont,20211104093957
Olivier DERIVAZ,AdG,Oui/Ja,H,57,Monthey,20211104093957
Ralph DESSIMOZ,PDC,Oui/Ja,H,57,Conthey,20211104093957
Arnaud DUBOIS,VLR,Oui/Ja,H,36,Monthey,20211104093957
Corinne DUC BONVIN,AdG,Oui/Ja,F,54,Sierre,20211104093957
Sophie DUCREY,AC,Oui/Ja,F,26,Monthey,20211104093957
Marius DUMOULIN,PDC,Oui/Ja,H,66,Sion,20211104093957
Jean-Marc DUPONT,AdG,Oui/Ja,H,63,Martigny,20211104093957
Florian EVEQUOZ,AC,Oui/Ja,H,40,Conthey,20211104093957
German EYER,ZUK-VS,Non/Nein,H,61,Brig,20211104093957
Natascha FARQUET,VLR,Oui/Ja,F,39,Martigny,20211104093957
Florent FAVRE,PDC,Oui/Ja,H,27,Conthey,20211104093957
Mélanie FOLLONIER,VLR,Non/Nein,F,29,Hérens,20211104093957
Sandro FONTANA,PDC,Oui/Ja,H,55,Monthey,20211104093957
