name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,33,Visp,20211125100922
Claudia ALPIGER,ZUK-VS,Non/Nein,F,32,Brig,20211125100922
Romano AMACKER,SVPO,Oui/Ja,H,24,Westlich Raron,20211125100922
Peter BÄHLER,SVPO,Non/Nein,H,68,Goms,20211125100922
Gabrielle BARRAS,UDC,Oui/Ja,F,58,Sion,20211125100922
Léonard BENDER,AC,Abst./Enth.,H,54,Martigny,20211125100922
Philippe BENDER,VLR,Oui/Ja,H,71,Martigny,20211125100922
Claudy BESSE,UDC,Oui/Ja,H,57,Monthey,20211125100922
Jacques BLANC,AC,Oui/Ja,H,67,Hérens,20211125100922
Vincent BOAND,UDC,Oui/Ja,H,36,Sion,20211125100922
Jean BONNARD,AC,Oui/Ja,H,72,Sion,20211125100922
Alex BONVIN,UDC,Oui/Ja,H,62,Sierre,20211125100922
Nicolas BONVIN,PDC,Oui/Ja,H,32,Sierre,20211125100922
Sophie BORNET,PDC,Oui/Ja,F,53,Conthey,20211125100922
Gaël BOURGEOIS,AdG,Oui/Ja,H,38,Martigny,20211125100922
Hermann BRUNNER,CSPO,Oui/Ja,H,67,Westlich Raron,20211125100922
Michael BURGENER,CVPO,Oui/Ja,H,40,Visp,20211125100922
Paul BURGENER,CVPO,Non/Nein,H,68,Visp,20211125100922
Peter BURRI,ZUK-VS,Oui/Ja,H,56,Visp,20211125100922
Mathieu CALOZ,VLR,Oui/Ja,H,28,Sierre,20211125100922
Florine CARRON,LES VERTS,Non/Nein,F,43,Martigny,20211125100922
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,48,Martigny,20211125100922
Patricia CASAYS,PDC,Oui/Ja,F,74,Monthey,20211125100922
Nicolas CHABLAIS,VLR,Oui/Ja,H,33,Monthey,20211125100922
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,74,Martigny,20211125100922
Stéphane CLAVIEN,VLR,Oui/Ja,H,64,Sierre,20211125100922
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,60,Sierre,20211125100922
Adeline CRETTENAND,VLR,Oui/Ja,F,27,Martigny,20211125100922
Narcisse CRETTENAND,VLR,Oui/Ja,H,66,Martigny,20211125100922
Blaise CRETTOL,AC,Oui/Ja,H,49,Sierre,20211125100922
Cilette CRETTON,AC,Non/Nein,F,76,Martigny,20211125100922
Lucile CURDY,AdG,Oui/Ja,F,22,Conthey,20211125100922
Alina DARBELLAY,LES VERTS,Non/Nein,F,54,Sion,20211125100922
Olivier DERIVAZ,AdG,Oui/Ja,H,57,Monthey,20211125100922
Ralph DESSIMOZ,PDC,Oui/Ja,H,57,Conthey,20211125100922
Arnaud DUBOIS,VLR,Oui/Ja,H,36,Monthey,20211125100922
Corinne DUC BONVIN,AdG,Oui/Ja,F,54,Sierre,20211125100922
Sophie DUCREY,AC,Oui/Ja,F,26,Monthey,20211125100922
Marius DUMOULIN,PDC,Oui/Ja,H,66,Sion,20211125100922
Jean-Marc DUPONT,AdG,Non/Nein,H,63,Martigny,20211125100922
Christian ESCHER,CSPO,Oui/Ja,H,42,Brig,20211125100922
Florian EVEQUOZ,AC,Oui/Ja,H,40,Conthey,20211125100922
