name,group,vote,Genre,Âge,District,affairVoteId
Claudia ALPIGER,ZUK-VS,Non/Nein,F,31,Brig,20201008103931
Romano AMACKER,SVPO,Oui/Ja,H,23,Westlich Raron,20201008103931
Maria ARNOLD-ESCHER,CVPO,Oui/Ja,F,57,Brig,20201008103931
Peter BÄHLER,SVPO,Oui/Ja,H,67,Goms,20201008103931
Fabrice BENDER,VLR,Oui/Ja,H,51,St-Maurice,20201008103931
Léonard BENDER,AC,Non/Nein,H,52,Martigny,20201008103931
Philippe BENDER,VLR,Oui/Ja,H,70,Martigny,20201008103931
Claudy BESSE,UDC,Oui/Ja,H,56,Monthey,20201008103931
Jacques BLANC,AC,Non/Nein,H,66,Hérens,20201008103931
Vincent BOAND,UDC,Oui/Ja,H,35,Sion,20201008103931
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201008103931
Alex BONVIN,UDC,Oui/Ja,H,61,Sierre,20201008103931
Nicolas BONVIN,PDC,Oui/Ja,H,31,Sierre,20201008103931
Gaël BOURGEOIS,AdG,Non/Nein,H,37,Martigny,20201008103931
Hermann BRUNNER,CSPO,Oui/Ja,H,66,Westlich Raron,20201008103931
Michael BURGENER,CVPO,Oui/Ja,H,39,Visp,20201008103931
Peter BURRI,ZUK-VS,Non/Nein,H,55,Visp,20201008103931
Mathieu CALOZ,VLR,Oui/Ja,H,27,Sierre,20201008103931
Chantal CARLEN,CVPO,Oui/Ja,F,28,Goms,20201008103931
Florine CARRON,LES VERTS,Non/Nein,F,42,Martigny,20201008103931
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,47,Martigny,20201008103931
Patricia CASAYS,PDC,Oui/Ja,F,73,Monthey,20201008103931
Nicolas CHABLAIS,VLR,Oui/Ja,H,32,Monthey,20201008103931
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,73,Martigny,20201008103931
Stéphane CLAVIEN,VLR,Oui/Ja,H,63,Sierre,20201008103931
Damien CLERC,PDC,Oui/Ja,H,39,Conthey,20201008103931
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,59,Sierre,20201008103931
Adeline CRETTENAND,VLR,Oui/Ja,F,26,Martigny,20201008103931
Narcisse CRETTENAND,VLR,Oui/Ja,H,65,Martigny,20201008103931
Blaise CRETTOL,AC,Non/Nein,H,48,Sierre,20201008103931
Cilette CRETTON,AC,Oui/Ja,F,75,Martigny,20201008103931
Lucile CURDY,AdG,Non/Nein,F,21,Conthey,20201008103931
Alina DARBELLAY,LES VERTS,Non/Nein,F,53,Sion,20201008103931
Pierre DARBELLAY,PDC,Oui/Ja,H,32,Entremont,20201008103931
Olivier DERIVAZ,AdG,Non/Nein,H,56,Monthey,20201008103931
Ralph DESSIMOZ,PDC,Oui/Ja,H,56,Conthey,20201008103931
Arnaud DUBOIS,VLR,Non/Nein,H,35,Monthey,20201008103931
Alain DUBOSSON,UDC,Oui/Ja,H,21,Monthey,20201008103931
Corinne DUC BONVIN,AdG,Non/Nein,F,53,Sierre,20201008103931
Sophie DUCREY,AC,Non/Nein,F,25,Monthey,20201008103931
Marius DUMOULIN,PDC,Oui/Ja,H,65,Sion,20201008103931
Jean-Marc DUPONT,AdG,Non/Nein,H,62,Martigny,20201008103931
Christian ESCHER,CSPO,Non/Nein,H,41,Brig,20201008103931
Florian EVEQUOZ,AC,Non/Nein,H,39,Conthey,20201008103931
German EYER,ZUK-VS,Non/Nein,H,59,Brig,20201008103931
Florent FAVRE,PDC,Oui/Ja,H,26,Conthey,20201008103931
Mélanie FOLLONIER,VLR,Oui/Ja,F,28,Hérens,20201008103931
Sandro FONTANA,PDC,Abst./Enth.,H,54,Monthey,20201008103931
Jérôme FORMAZ,UDC,Oui/Ja,H,44,Entremont,20201008103931
Sabine FOURNIER,LES VERTS,Non/Nein,F,45,St-Maurice,20201008103931
Damien FUMEAUX,UDC,Oui/Ja,H,22,Conthey,20201008103931
Pascale FUMEAUX,AC,Non/Nein,F,38,Conthey,20201008103931
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,54,Hérens,20201008103931
Marc-Antoine GENOLET,UDC,Oui/Ja,H,56,Hérens,20201008103931
François GENOUD,VLR,Non/Nein,H,68,Sierre,20201008103931
Géraldine GRANGES-GUENOT,UDC,Oui/Ja,F,45,Martigny,20201008103931
Vincent GÜNTHER,LES VERTS,Non/Nein,H,51,Martigny,20201008103931
Ida HÄFLIGER,CSPO,Oui/Ja,F,63,Visp,20201008103931
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,46,Brig,20201008103931
Lukas JÄGER,SVPO,Non/Nein,H,65,Leuk,20201008103931
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,49,Westlich Raron,20201008103931
Dominik KNUBEL,CVPO,Non/Nein,H,40,Westlich Raron,20201008103931
Michael KREUZER,SVPO,Oui/Ja,H,31,Visp,20201008103931
Ralph KUMMER,SVPO,Oui/Ja,H,42,Brig,20201008103931
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,61,Leuk,20201008103931
Alain LÉGER,PDC,Oui/Ja,H,42,Martigny,20201008103931
Jean-François LOVEY,AC,Non/Nein,H,65,Entremont,20201008103931
Damien LUISIER,PDC,Oui/Ja,H,27,Martigny,20201008103931
Vincent LUYET,AC,Non/Nein,H,43,Sion,20201008103931
Natacha MARET,PDC,Oui/Ja,F,37,Entremont,20201008103931
Rainer MATHIER,CVPO,Oui/Ja,H,63,Leuk,20201008103931
Thomas MATTER,CSPO,Oui/Ja,H,54,Leuk,20201008103931
Kamy MAY,PDC,Oui/Ja,F,26,Entremont,20201008103931
Nicolas METTAN,PDC,Oui/Ja,H,59,St-Maurice,20201008103931
Fabienne MURMANN,CVPO,Oui/Ja,F,39,Leuk,20201008103931
Jean-Daniel NANCHEN,LES VERTS,Non/Nein,H,63,Sierre,20201008103931
Claude NANÇOZ,VLR,Oui/Ja,H,68,Conthey,20201008103931
Bernard OBERHOLZER,AC,Non/Nein,H,75,Monthey,20201008103931
Edmond PERRUCHOUD,UDC,Abst./Enth.,H,73,Sierre,20201008103931
Frédéric PITTELOUD,PDC,Oui/Ja,H,45,Hérens,20201008103931
Emilie PRAZ,AC,Non/Nein,F,34,Sion,20201008103931
François QUENNOZ,UDC,Oui/Ja,H,27,Sion,20201008103931
Damien RABOUD,UDC,Oui/Ja,H,34,Monthey,20201008103931
Pierre-Alain RAEMY,VLR,Oui/Ja,H,59,Sion,20201008103931
Célina RAMSAUER,AC,Non/Nein,F,44,Sierre,20201008103931
Kurt REGOTZ,CSPO,Non/Nein,H,67,Brig,20201008103931
Jean-Pierre REY,VLR,Oui/Ja,H,57,Sierre,20201008103931
Caroline REYNARD,AdG,Non/Nein,F,24,Sion,20201008103931
Janine REY-SIGGEN,AdG,Non/Nein,F,60,Sierre,20201008103931
Johan ROCHEL,AC,Non/Nein,H,36,Monthey,20201008103931
Martine ROUILLER,AC,Non/Nein,F,38,St-Maurice,20201008103931
Léa ROUILLER DESSIMOZ,LES VERTS,Non/Nein,F,20,Conthey,20201008103931
Christine ROUX,PDC,Oui/Ja,F,58,Sion,20201008103931
Felix RUPPEN,CVPO,Oui/Ja,H,59,Brig,20201008103931
Gérard SALAMIN,PDC,Oui/Ja,H,57,Sierre,20201008103931
Mathieu SARRASIN,VLR,Oui/Ja,H,59,Entremont,20201008103931
Jean-Marc SAVIOZ,PDC,Oui/Ja,H,50,Sierre,20201008103931
Pierre SCHERTENLEIB,AdG,Non/Nein,H,67,Sion,20201008103931
Flavio SCHMID,CSPO,Non/Nein,H,35,Visp,20201008103931
