name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,32,Visp,20200903122415
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,31,Brig,20200903122415
Romano AMACKER,SVPO,Non/Nein,H,23,Westlich Raron,20200903122415
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,57,Brig,20200903122415
Peter BÄHLER,SVPO,Non/Nein,H,67,Goms,20200903122415
Gabrielle BARRAS,UDC,Non/Nein,F,57,Sion,20200903122415
Fabrice BENDER,VLR,Non/Nein,H,51,St-Maurice,20200903122415
Léonard BENDER,AC,Oui/Ja,H,52,Martigny,20200903122415
Philippe BENDER,VLR,Non/Nein,H,70,Martigny,20200903122415
Claudy BESSE,UDC,Non/Nein,H,56,Monthey,20200903122415
Vincent BOAND,UDC,Non/Nein,H,35,Sion,20200903122415
Jean BONNARD,AC,Non/Nein,H,71,Sion,20200903122415
Alex BONVIN,UDC,Non/Nein,H,61,Sierre,20200903122415
Nicolas BONVIN,PDC,Non/Nein,H,31,Sierre,20200903122415
Sophie BORNET,PDC,Non/Nein,F,52,Conthey,20200903122415
Gaël BOURGEOIS,AdG,Oui/Ja,H,37,Martigny,20200903122415
Hermann BRUNNER,CSPO,Non/Nein,H,66,Westlich Raron,20200903122415
Michael BURGENER,CVPO,Non/Nein,H,39,Visp,20200903122415
Paul BURGENER,CVPO,Non/Nein,H,67,Visp,20200903122415
Peter BURRI,ZUK-VS,Oui/Ja,H,55,Visp,20200903122415
Mathieu CALOZ,VLR,Non/Nein,H,27,Sierre,20200903122415
Chantal CARLEN,CVPO,Non/Nein,F,28,Goms,20200903122415
Florine CARRON,LES VERTS,Oui/Ja,F,42,Martigny,20200903122415
Florence CARRON DARBELLAY,PDC,Non/Nein,F,47,Martigny,20200903122415
Patricia CASAYS,PDC,Non/Nein,F,73,Monthey,20200903122415
Nicolas CHABLAIS,VLR,Abst./Enth.,H,32,Monthey,20200903122415
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,73,Martigny,20200903122415
Stéphane CLAVIEN,VLR,Non/Nein,H,63,Sierre,20200903122415
Damien CLERC,PDC,Non/Nein,H,39,Conthey,20200903122415
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,59,Sierre,20200903122415
Adeline CRETTENAND,VLR,Non/Nein,F,26,Martigny,20200903122415
Narcisse CRETTENAND,VLR,Non/Nein,H,65,Martigny,20200903122415
Blaise CRETTOL,AC,Oui/Ja,H,48,Sierre,20200903122415
Cilette CRETTON,AC,Oui/Ja,F,75,Martigny,20200903122415
Alina DARBELLAY,LES VERTS,Oui/Ja,F,53,Sion,20200903122415
Pierre DARBELLAY,PDC,Non/Nein,H,32,Entremont,20200903122415
Olivier DERIVAZ,AdG,Oui/Ja,H,56,Monthey,20200903122415
Ralph DESSIMOZ,PDC,Non/Nein,H,56,Conthey,20200903122415
Arnaud DUBOIS,VLR,Abst./Enth.,H,35,Monthey,20200903122415
Alain DUBOSSON,UDC,Non/Nein,H,21,Monthey,20200903122415
