name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Non/Nein,H,35,Visp,20230202165542
Claudia ALPIGER,ZUK-VS,Abst./Enth.,F,33,Brig,20230202165542
Romano AMACKER,SVPO,Non/Nein,H,25,Westlich Raron,20230202165542
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Abst./Enth.,F,60,Brig,20230202165542
Gabrielle BARRAS,UDC,Non/Nein,F,60,Sion,20230202165542
Léonard BENDER,AC,Abst./Enth.,H,55,Martigny,20230202165542
Philippe BENDER,VLR,Non/Nein,H,72,Martigny,20230202165542
Vincent BOAND,UDC,Non/Nein,H,38,Sion,20230202165542
Alex BONVIN,UDC,Non/Nein,H,64,Sierre,20230202165542
Nicolas BONVIN,Le Centre,Abst./Enth.,H,33,Sierre,20230202165542
Sophie BORNET,Le Centre,Non/Nein,F,55,Conthey,20230202165542
Hermann BRUNNER,CSPO,Non/Nein,H,68,Westlich Raron,20230202165542
Michael BURGENER,Die Mitte Oberwallis,Non/Nein,H,42,Visp,20230202165542
Paul BURGENER,Die Mitte Oberwallis,Non/Nein,H,69,Visp,20230202165542
Peter BURRI,ZUK-VS,Non/Nein,H,57,Visp,20230202165542
Mathieu CALOZ,VLR,Abst./Enth.,H,30,Sierre,20230202165542
Chantal CARLEN,Die Mitte Oberwallis,Abst./Enth.,F,31,Goms,20230202165542
Florine CARRON,LES VERTS,Abst./Enth.,F,45,Martigny,20230202165542
Florence CARRON DARBELLAY,Le Centre,Abst./Enth.,F,49,Martigny,20230202165542
Catherine CARRUZZO,UDC,Non/Nein,F,68,Monthey,20230202165542
Patricia CASAYS,Le Centre,Abst./Enth.,F,75,Monthey,20230202165542
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,75,Martigny,20230202165542
Stéphane CLAVIEN,VLR,Oui/Ja,H,65,Sierre,20230202165542
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Abst./Enth.,F,62,Sierre,20230202165542
Narcisse CRETTENAND,VLR,Non/Nein,H,67,Martigny,20230202165542
Cilette CRETTON,AC,Abst./Enth.,F,77,Martigny,20230202165542
Lucile CURDY,PS-GC,Abst./Enth.,F,23,Conthey,20230202165542
Alina DARBELLAY,LES VERTS,Non/Nein,F,55,Sion,20230202165542
Pierre DARBELLAY,Le Centre,Non/Nein,H,34,Entremont,20230202165542
Olivier DERIVAZ,PS-GC,Abst./Enth.,H,58,Monthey,20230202165542
Eric DESSIMOZ,LES VERTS,Abst./Enth.,H,58,Conthey,20230202165542
Arnaud DUBOIS,VLR,Abst./Enth.,H,37,Monthey,20230202165542
Alain DUBOSSON,UDC,Non/Nein,H,24,Monthey,20230202165542
Corinne DUC BONVIN,PS-GC,Oui/Ja,F,55,Sierre,20230202165542
Sophie DUCREY,AC,Abst./Enth.,F,28,Monthey,20230202165542
Marius DUMOULIN,Le Centre,Oui/Ja,H,67,Sion,20230202165542
Jean-Marc DUPONT,PS-GC,Abst./Enth.,H,64,Martigny,20230202165542
Christian ESCHER,CSPO,Abst./Enth.,H,43,Brig,20230202165542
Florian EVEQUOZ,AC,Non/Nein,H,42,Conthey,20230202165542
German EYER,ZUK-VS,Abst./Enth.,H,62,Brig,20230202165542
Natascha FARQUET,VLR,Abst./Enth.,F,40,Martigny,20230202165542
Florent FAVRE,Le Centre,Oui/Ja,H,28,Conthey,20230202165542
Mélanie FOLLONIER,VLR,Abst./Enth.,F,31,Hérens,20230202165542
Sandro FONTANA,Le Centre,Abst./Enth.,H,57,Monthey,20230202165542
Sabine FOURNIER,LES VERTS,Oui/Ja,F,48,St-Maurice,20230202165542
Damien FUMEAUX,UDC,Non/Nein,H,25,Conthey,20230202165542
Pascale FUMEAUX,AC,Abst./Enth.,F,40,Conthey,20230202165542
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,56,Hérens,20230202165542
Marc-Antoine GENOLET,UDC,Non/Nein,H,58,Hérens,20230202165542
François GENOUD,VLR,Abst./Enth.,H,70,Sierre,20230202165542
Géraldine GIANADDA,VLR,Abst./Enth.,F,55,Martigny,20230202165542
Anne-Marie GRAND,Le Centre,Abst./Enth.,F,51,Conthey,20230202165542
Géraldine GRANGES GUENOT,UDC,Oui/Ja,F,47,Martigny,20230202165542
Vincent GÜNTHER,LES VERTS,Abst./Enth.,H,54,Martigny,20230202165542
Ida HÄFLIGER,CSPO,Abst./Enth.,F,65,Visp,20230202165542
Christelle HERITIER,VLR,Abst./Enth.,F,38,Sion,20230202165542
Monika HOLZEGGER,ZUK-VS,Abst./Enth.,F,48,Brig,20230202165542
Lukas JÄGER,SVPO,Non/Nein,H,68,Leuk,20230202165542
Lukas KALBERMATTEN,Die Mitte Oberwallis,Non/Nein,H,52,Westlich Raron,20230202165542
Dominik KNUBEL,Die Mitte Oberwallis,Abst./Enth.,H,43,Westlich Raron,20230202165542
Michael KREUZER,SVPO,Non/Nein,H,34,Visp,20230202165542
Madeleine KUONEN-EGGO,ZUK-VS,Abst./Enth.,F,64,Leuk,20230202165542
Alain LÉGER,Le Centre,Non/Nein,H,45,Martigny,20230202165542
Damien LUISIER,Le Centre,Non/Nein,H,30,Martigny,20230202165542
Vincent LUYET,AC,Abst./Enth.,H,45,Sion,20230202165542
Natacha MARET,Le Centre,Abst./Enth.,F,39,Entremont,20230202165542
Rainer MATHIER,Die Mitte Oberwallis,Non/Nein,H,65,Leuk,20230202165542
Kamy MAY,Le Centre,Abst./Enth.,F,29,Entremont,20230202165542
Nicolas METTAN,Le Centre,Oui/Ja,H,62,St-Maurice,20230202165542
Matthieu MONNARD,AC,Abst./Enth.,H,39,Monthey,20230202165542
Fabienne MURMANN,Die Mitte Oberwallis,Non/Nein,F,42,Leuk,20230202165542
Jean-Daniel NANCHEN,LES VERTS,Abst./Enth.,H,66,Sierre,20230202165542
Claude NANÇOZ,VLR,Abst./Enth.,H,70,Conthey,20230202165542
Edmond PERRUCHOUD,UDC,Abst./Enth.,H,76,Sierre,20230202165542
Bernard PIGNAT,VLR,Abst./Enth.,H,70,Monthey,20230202165542
Frédéric PITTELOUD,Le Centre,Oui/Ja,H,48,Hérens,20230202165542
Emilie PRAZ,AC,Abst./Enth.,F,37,Sion,20230202165542
François QUENNOZ,UDC,Non/Nein,H,30,Sion,20230202165542
Pierre-Alain RAEMY,VLR,Abst./Enth.,H,62,Sion,20230202165542
Célina RAMSAUER,AC,Abst./Enth.,F,46,Sierre,20230202165542
Kurt REGOTZ,CSPO,Abst./Enth.,H,70,Brig,20230202165542
Jean-Pierre REY,VLR,Abst./Enth.,H,60,Sierre,20230202165542
Caroline REYNARD,PS-GC,Abst./Enth.,F,26,Sion,20230202165542
Janine REY-SIGGEN,PS-GC,Abst./Enth.,F,62,Sierre,20230202165542
Jean-Yves RIAND,AC,Non/Nein,H,67,Sion,20230202165542
Johan ROCHEL,AC,Abst./Enth.,H,39,Monthey,20230202165542
Christine ROUX,Le Centre,Abst./Enth.,F,61,Sion,20230202165542
Felix RUPPEN,Die Mitte Oberwallis,Non/Nein,H,62,Brig,20230202165542
Gérard SALAMIN,Le Centre,Oui/Ja,H,60,Sierre,20230202165542
Jean-Marc SAVIOZ,Le Centre,Non/Nein,H,52,Sierre,20230202165542
Pierre SCHERTENLEIB,PS-GC,Abst./Enth.,H,69,Sion,20230202165542
Flavio SCHMID,CSPO,Abst./Enth.,H,38,Visp,20230202165542
Gerhard SCHMID,ZUK-VS,Oui/Ja,H,75,Östlich Raron,20230202165542
Remo SCHNYDER,SVPO,Non/Nein,H,48,Brig,20230202165542
Raymonde SCHOCH,VLR,Abst./Enth.,F,71,St-Maurice,20230202165542
Alain SCHÖNBETT,VLR,Abst./Enth.,H,67,Monthey,20230202165542
Martin SCHÜRCH,Die Mitte Oberwallis,Non/Nein,H,51,Visp,20230202165542
Fabien THETAZ,PS-GC,Abst./Enth.,H,37,Monthey,20230202165542
Bernard TROILLET,Le Centre,Abst./Enth.,H,68,Martigny,20230202165542
Patrice TSCHOPP,Le Centre,Non/Nein,H,71,Sion,20230202165542
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,29,Monthey,20230202165542
Romain UDRY,VLR,Non/Nein,H,30,Conthey,20230202165542
Grégoire VANNAY,Le Centre,Abst./Enth.,H,52,Monthey,20230202165542
Georges VIONNET,LES VERTS,Non/Nein,H,69,Monthey,20230202165542
Jenny VOEFFRAY,Le Centre,Oui/Ja,F,48,St-Maurice,20230202165542
Laurence VUAGNIAUX,LES VERTS,Oui/Ja,F,48,Sion,20230202165542
Côme VUILLE,VLR,Abst./Enth.,H,36,Monthey,20230202165542
Rafael WELSCHEN,Die Mitte Oberwallis,Non/Nein,H,35,Brig,20230202165542
Leander WILLINER,CSPO,Abst./Enth.,H,69,Brig,20230202165542
Jean ZERMATTEN,AC,Abst./Enth.,H,74,Sion,20230202165542
Rahel ZIMMERMANN,ZUK-VS,Abst./Enth.,F,38,Visp,20230202165542
Marie ZUCHUAT,Le Centre,Abst./Enth.,F,35,Sion,20230202165542
Fabian ZURBRIGGEN,SVPO,Non/Nein,H,49,Visp,20230202165542
Danica ZURBRIGGEN LEHNER,CSPO,Abst./Enth.,F,42,Visp,20230202165542
Peter BÄHLER,SVPO,Aucun/Keine,H,70,Goms,20230202165542
Jacques BLANC,AC,Aucun/Keine,H,68,Hérens,20230202165542
Gaël BOURGEOIS,PS-GC,Aucun/Keine,H,39,Martigny,20230202165542
Damien CLERC,Le Centre,Aucun/Keine,H,41,Conthey,20230202165542
Adeline CRETTENAND,VLR,Aucun/Keine,F,28,Martigny,20230202165542
Blaise CRETTOL,AC,Aucun/Keine,H,51,Sierre,20230202165542
Jérôme FORMAZ,UDC,Aucun/Keine,H,46,Entremont,20230202165542
Sandro FUX,SVPO,Aucun/Keine,H,35,Brig,20230202165542
Jean-François LOVEY,AC,Aucun/Keine,H,68,Entremont,20230202165542
