name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,32,Visp,20201116154110
Romano AMACKER,SVPO,Non/Nein,H,23,Westlich Raron,20201116154110
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,57,Brig,20201116154110
Gabrielle BARRAS,UDC,Non/Nein,F,57,Sion,20201116154110
Fabrice BENDER,VLR,Oui/Ja,H,51,St-Maurice,20201116154110
Léonard BENDER,AC,Oui/Ja,H,52,Martigny,20201116154110
Philippe BENDER,VLR,Oui/Ja,H,70,Martigny,20201116154110
Vincent BOAND,UDC,Non/Nein,H,35,Sion,20201116154110
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201116154110
Alex BONVIN,UDC,Non/Nein,H,61,Sierre,20201116154110
Nicolas BONVIN,PDC,Non/Nein,H,31,Sierre,20201116154110
Sophie BORNET,PDC,Non/Nein,F,52,Conthey,20201116154110
Gaël BOURGEOIS,AdG,Oui/Ja,H,37,Martigny,20201116154110
Hermann BRUNNER,CSPO,Oui/Ja,H,66,Westlich Raron,20201116154110
Michael BURGENER,CVPO,Non/Nein,H,39,Visp,20201116154110
Paul BURGENER,CVPO,Non/Nein,H,67,Visp,20201116154110
Peter BURRI,ZUK-VS,Non/Nein,H,55,Visp,20201116154110
Mathieu CALOZ,VLR,Oui/Ja,H,27,Sierre,20201116154110
Florine CARRON,LES VERTS,Oui/Ja,F,42,Martigny,20201116154110
Florence CARRON DARBELLAY,PDC,Non/Nein,F,47,Martigny,20201116154110
Patricia CASAYS,PDC,Non/Nein,F,73,Monthey,20201116154110
Nicolas CHABLAIS,VLR,Oui/Ja,H,32,Monthey,20201116154110
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,73,Martigny,20201116154110
Stéphane CLAVIEN,VLR,Oui/Ja,H,63,Sierre,20201116154110
Damien CLERC,PDC,Abst./Enth.,H,39,Conthey,20201116154110
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,59,Sierre,20201116154110
Adeline CRETTENAND,VLR,Oui/Ja,F,26,Martigny,20201116154110
Narcisse CRETTENAND,VLR,Oui/Ja,H,65,Martigny,20201116154110
Cilette CRETTON,AC,Oui/Ja,F,75,Martigny,20201116154110
Lucile CURDY,AdG,Oui/Ja,F,21,Conthey,20201116154110
Alina DARBELLAY,LES VERTS,Oui/Ja,F,53,Sion,20201116154110
Pierre DARBELLAY,PDC,Non/Nein,H,32,Entremont,20201116154110
Olivier DERIVAZ,AdG,Oui/Ja,H,56,Monthey,20201116154110
Ralph DESSIMOZ,PDC,Non/Nein,H,56,Conthey,20201116154110
Arnaud DUBOIS,VLR,Oui/Ja,H,35,Monthey,20201116154110
Alain DUBOSSON,UDC,Non/Nein,H,21,Monthey,20201116154110
Corinne DUC BONVIN,AdG,Oui/Ja,F,53,Sierre,20201116154110
Sophie DUCREY,AC,Oui/Ja,F,25,Monthey,20201116154110
Marius DUMOULIN,PDC,Non/Nein,H,65,Sion,20201116154110
Jean-Marc DUPONT,AdG,Oui/Ja,H,62,Martigny,20201116154110
Florian EVEQUOZ,AC,Oui/Ja,H,39,Conthey,20201116154110
German EYER,ZUK-VS,Oui/Ja,H,59,Brig,20201116154110
Natascha FARQUET,VLR,Oui/Ja,F,38,Martigny,20201116154110
Florent FAVRE,PDC,Non/Nein,H,26,Conthey,20201116154110
Mélanie FOLLONIER,VLR,Oui/Ja,F,28,Hérens,20201116154110
Sandro FONTANA,PDC,Non/Nein,H,54,Monthey,20201116154110
Jérôme FORMAZ,UDC,Non/Nein,H,44,Entremont,20201116154110
Sabine FOURNIER,LES VERTS,Oui/Ja,F,45,St-Maurice,20201116154110
Damien FUMEAUX,UDC,Non/Nein,H,22,Conthey,20201116154110
Pascale FUMEAUX,AC,Oui/Ja,F,38,Conthey,20201116154110
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,54,Hérens,20201116154110
Marc-Antoine GENOLET,UDC,Non/Nein,H,56,Hérens,20201116154110
François GENOUD,VLR,Oui/Ja,H,68,Sierre,20201116154110
Géraldine GIANADDA,VLR,Oui/Ja,F,53,Martigny,20201116154110
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,51,Martigny,20201116154110
Ida HÄFLIGER,CSPO,Oui/Ja,F,63,Visp,20201116154110
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,46,Brig,20201116154110
Lukas KALBERMATTEN,CVPO,Non/Nein,H,49,Westlich Raron,20201116154110
Michael KREUZER,SVPO,Non/Nein,H,31,Visp,20201116154110
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,61,Leuk,20201116154110
Alain LÉGER,PDC,Non/Nein,H,42,Martigny,20201116154110
Jean-François LOVEY,AC,Oui/Ja,H,65,Entremont,20201116154110
Damien LUISIER,PDC,Non/Nein,H,27,Martigny,20201116154110
Vincent LUYET,AC,Oui/Ja,H,43,Sion,20201116154110
Natacha MARET,PDC,Non/Nein,F,37,Entremont,20201116154110
Rainer MATHIER,CVPO,Non/Nein,H,63,Leuk,20201116154110
Thomas MATTER,CSPO,Oui/Ja,H,54,Leuk,20201116154110
Kamy MAY,PDC,Non/Nein,F,26,Entremont,20201116154110
Fabienne MURMANN,CVPO,Non/Nein,F,39,Leuk,20201116154110
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,63,Sierre,20201116154110
Claude NANÇOZ,VLR,Oui/Ja,H,68,Conthey,20201116154110
Bernard OBERHOLZER,AC,Oui/Ja,H,75,Monthey,20201116154110
Frédéric PITTELOUD,PDC,Non/Nein,H,45,Hérens,20201116154110
Géraldine POUGET-ZUFFEREY,PDC,Non/Nein,F,30,Sierre,20201116154110
