name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Oui/Ja,H,34,Visp,20221025112449
Claudia ALPIGER,ZUK-VS,Non/Nein,F,33,Brig,20221025112449
Romano AMACKER,SVPO,Oui/Ja,H,25,Westlich Raron,20221025112449
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Oui/Ja,F,59,Brig,20221025112449
Peter BÄHLER,SVPO,Oui/Ja,H,69,Goms,20221025112449
Gabrielle BARRAS,UDC,Oui/Ja,F,59,Sion,20221025112449
Léonard BENDER,AC,Non/Nein,H,54,Martigny,20221025112449
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20221025112449
Claudy BESSE,UDC,Oui/Ja,H,58,Monthey,20221025112449
Vincent BOAND,UDC,Oui/Ja,H,37,Sion,20221025112449
Alex BONVIN,UDC,Oui/Ja,H,63,Sierre,20221025112449
Nicolas BONVIN,Le Centre,Oui/Ja,H,33,Sierre,20221025112449
Sophie BORNET,Le Centre,Oui/Ja,F,54,Conthey,20221025112449
Gaël BOURGEOIS,PS-GC,Abst./Enth.,H,39,Martigny,20221025112449
Hermann BRUNNER,CSPO,Oui/Ja,H,68,Westlich Raron,20221025112449
Michael BURGENER,Die Mitte Oberwallis,Oui/Ja,H,41,Visp,20221025112449
Paul BURGENER,Die Mitte Oberwallis,Non/Nein,H,69,Visp,20221025112449
Peter BURRI,ZUK-VS,Non/Nein,H,57,Visp,20221025112449
Mathieu CALOZ,VLR,Abst./Enth.,H,29,Sierre,20221025112449
Chantal CARLEN,Die Mitte Oberwallis,Oui/Ja,F,30,Goms,20221025112449
Florine CARRON,LES VERTS,Oui/Ja,F,44,Martigny,20221025112449
Florence CARRON DARBELLAY,Le Centre,Oui/Ja,F,49,Martigny,20221025112449
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,75,Martigny,20221025112449
Stéphane CLAVIEN,VLR,Oui/Ja,H,65,Sierre,20221025112449
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,61,Sierre,20221025112449
Adeline CRETTENAND,VLR,Oui/Ja,F,28,Martigny,20221025112449
Narcisse CRETTENAND,VLR,Non/Nein,H,67,Martigny,20221025112449
Blaise CRETTOL,AC,Non/Nein,H,50,Sierre,20221025112449
Lucile CURDY,PS-GC,Non/Nein,F,23,Conthey,20221025112449
Alina DARBELLAY,LES VERTS,Oui/Ja,F,55,Sion,20221025112449
Pierre DARBELLAY,Le Centre,Oui/Ja,H,34,Entremont,20221025112449
Olivier DERIVAZ,PS-GC,Oui/Ja,H,58,Monthey,20221025112449
Eric DESSIMOZ,LES VERTS,Non/Nein,H,57,Conthey,20221025112449
Arnaud DUBOIS,VLR,Oui/Ja,H,37,Monthey,20221025112449
Corinne DUC BONVIN,PS-GC,Non/Nein,F,55,Sierre,20221025112449
Sophie DUCREY,AC,Non/Nein,F,27,Monthey,20221025112449
Marius DUMOULIN,Le Centre,Oui/Ja,H,67,Sion,20221025112449
Jean-Marc DUPONT,PS-GC,Non/Nein,H,64,Martigny,20221025112449
Christian ESCHER,CSPO,Non/Nein,H,43,Brig,20221025112449
Florian EVEQUOZ,AC,Non/Nein,H,41,Conthey,20221025112449
German EYER,ZUK-VS,Non/Nein,H,61,Brig,20221025112449
Natascha FARQUET,VLR,Oui/Ja,F,40,Martigny,20221025112449
Mélanie FOLLONIER,VLR,Non/Nein,F,30,Hérens,20221025112449
Sandro FONTANA,Le Centre,Oui/Ja,H,56,Monthey,20221025112449
Jérôme FORMAZ,UDC,Oui/Ja,H,46,Entremont,20221025112449
Sabine FOURNIER,LES VERTS,Non/Nein,F,47,St-Maurice,20221025112449
Damien FUMEAUX,UDC,Oui/Ja,H,24,Conthey,20221025112449
Pascale FUMEAUX,AC,Oui/Ja,F,40,Conthey,20221025112449
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,56,Hérens,20221025112449
Marc-Antoine GENOLET,UDC,Oui/Ja,H,58,Hérens,20221025112449
François GENOUD,VLR,Oui/Ja,H,70,Sierre,20221025112449
Géraldine GIANADDA,VLR,Oui/Ja,F,55,Martigny,20221025112449
Anne-Marie GRAND,Le Centre,Oui/Ja,F,50,Conthey,20221025112449
Géraldine GRANGES GUENOT,UDC,Oui/Ja,F,47,Martigny,20221025112449
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,53,Martigny,20221025112449
Ida HÄFLIGER,CSPO,Non/Nein,F,65,Visp,20221025112449
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,48,Brig,20221025112449
Lukas JÄGER,SVPO,Oui/Ja,H,67,Leuk,20221025112449
Lukas KALBERMATTEN,Die Mitte Oberwallis,Oui/Ja,H,51,Westlich Raron,20221025112449
Dominik KNUBEL,Die Mitte Oberwallis,Oui/Ja,H,42,Westlich Raron,20221025112449
Michael KREUZER,SVPO,Oui/Ja,H,33,Visp,20221025112449
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,63,Leuk,20221025112449
Alain LÉGER,Le Centre,Oui/Ja,H,44,Martigny,20221025112449
Jean-François LOVEY,AC,Non/Nein,H,67,Entremont,20221025112449
Damien LUISIER,Le Centre,Oui/Ja,H,29,Martigny,20221025112449
Vincent LUYET,AC,Non/Nein,H,45,Sion,20221025112449
Natacha MARET,Le Centre,Oui/Ja,F,39,Entremont,20221025112449
Rainer MATHIER,Die Mitte Oberwallis,Oui/Ja,H,65,Leuk,20221025112449
Thomas MATTER,CSPO,Non/Nein,H,56,Leuk,20221025112449
Kamy MAY,Le Centre,Oui/Ja,F,28,Entremont,20221025112449
Fabienne MURMANN,Die Mitte Oberwallis,Oui/Ja,F,41,Leuk,20221025112449
Jean-Daniel NANCHEN,LES VERTS,Non/Nein,H,65,Sierre,20221025112449
Claude NANÇOZ,VLR,Oui/Ja,H,70,Conthey,20221025112449
Bernard OBERHOLZER,AC,Non/Nein,H,77,Monthey,20221025112449
Bernard PIGNAT,VLR,Oui/Ja,H,69,Monthey,20221025112449
Frédéric PITTELOUD,Le Centre,Oui/Ja,H,47,Hérens,20221025112449
Emilie PRAZ,AC,Non/Nein,F,36,Sion,20221025112449
François QUENNOZ,UDC,Oui/Ja,H,29,Sion,20221025112449
Damien RABOUD,UDC,Oui/Ja,H,36,Monthey,20221025112449
Pierre-Alain RAEMY,VLR,Oui/Ja,H,61,Sion,20221025112449
Célina RAMSAUER,AC,Non/Nein,F,45,Sierre,20221025112449
Jean-Pierre REY,VLR,Oui/Ja,H,59,Sierre,20221025112449
Caroline REYNARD,PS-GC,Non/Nein,F,26,Sion,20221025112449
Janine REY-SIGGEN,PS-GC,Oui/Ja,F,62,Sierre,20221025112449
Jean-Yves RIAND,AC,Non/Nein,H,66,Sion,20221025112449
Martine ROUILLER,AC,Non/Nein,F,40,St-Maurice,20221025112449
Christine ROUX,Le Centre,Oui/Ja,F,60,Sion,20221025112449
Felix RUPPEN,Die Mitte Oberwallis,Oui/Ja,H,61,Brig,20221025112449
Gérard SALAMIN,Le Centre,Oui/Ja,H,59,Sierre,20221025112449
Mathieu SARRASIN,VLR,Oui/Ja,H,61,Entremont,20221025112449
Jean-Marc SAVIOZ,Le Centre,Oui/Ja,H,52,Sierre,20221025112449
Pierre SCHERTENLEIB,PS-GC,Oui/Ja,H,69,Sion,20221025112449
Flavio SCHMID,CSPO,Non/Nein,H,37,Visp,20221025112449
Gerhard SCHMID,ZUK-VS,Oui/Ja,H,74,Östlich Raron,20221025112449
Raymonde SCHOCH,VLR,Oui/Ja,F,71,St-Maurice,20221025112449
Alain SCHÖNBETT,VLR,Oui/Ja,H,67,Monthey,20221025112449
Martin SCHÜRCH,Die Mitte Oberwallis,Oui/Ja,H,50,Visp,20221025112449
Ruth STALDER,VLR,Oui/Ja,F,60,Sion,20221025112449
Bernard TROILLET,Le Centre,Oui/Ja,H,68,Martigny,20221025112449
