name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Non/Nein,H,34,Visp,20221025151529
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,33,Brig,20221025151529
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Oui/Ja,F,59,Brig,20221025151529
Peter BÄHLER,SVPO,Non/Nein,H,69,Goms,20221025151529
Gabrielle BARRAS,UDC,Non/Nein,F,59,Sion,20221025151529
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20221025151529
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20221025151529
Vincent BOAND,UDC,Non/Nein,H,37,Sion,20221025151529
Nicolas BONVIN,Le Centre,Oui/Ja,H,33,Sierre,20221025151529
Sophie BORNET,Le Centre,Oui/Ja,F,54,Conthey,20221025151529
Gaël BOURGEOIS,PS-GC,Oui/Ja,H,39,Martigny,20221025151529
Hermann BRUNNER,CSPO,Oui/Ja,H,68,Westlich Raron,20221025151529
Michael BURGENER,Die Mitte Oberwallis,Non/Nein,H,41,Visp,20221025151529
Paul BURGENER,Die Mitte Oberwallis,Non/Nein,H,69,Visp,20221025151529
Peter BURRI,ZUK-VS,Non/Nein,H,57,Visp,20221025151529
Chantal CARLEN,Die Mitte Oberwallis,Non/Nein,F,30,Goms,20221025151529
Florine CARRON,LES VERTS,Oui/Ja,F,44,Martigny,20221025151529
Florence CARRON DARBELLAY,Le Centre,Oui/Ja,F,49,Martigny,20221025151529
Patricia CASAYS,Le Centre,Oui/Ja,F,75,Monthey,20221025151529
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,75,Martigny,20221025151529
Stéphane CLAVIEN,VLR,Oui/Ja,H,65,Sierre,20221025151529
Damien CLERC,Le Centre,Oui/Ja,H,41,Conthey,20221025151529
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,61,Sierre,20221025151529
Adeline CRETTENAND,VLR,Non/Nein,F,28,Martigny,20221025151529
Narcisse CRETTENAND,VLR,Non/Nein,H,67,Martigny,20221025151529
Blaise CRETTOL,AC,Oui/Ja,H,50,Sierre,20221025151529
Lucile CURDY,PS-GC,Oui/Ja,F,23,Conthey,20221025151529
Alina DARBELLAY,LES VERTS,Oui/Ja,F,55,Sion,20221025151529
Pierre DARBELLAY,Le Centre,Oui/Ja,H,34,Entremont,20221025151529
Olivier DERIVAZ,PS-GC,Oui/Ja,H,58,Monthey,20221025151529
Eric DESSIMOZ,LES VERTS,Oui/Ja,H,57,Conthey,20221025151529
Arnaud DUBOIS,VLR,Oui/Ja,H,37,Monthey,20221025151529
Corinne DUC BONVIN,PS-GC,Oui/Ja,F,55,Sierre,20221025151529
Sophie DUCREY,AC,Oui/Ja,F,27,Monthey,20221025151529
Marius DUMOULIN,Le Centre,Oui/Ja,H,67,Sion,20221025151529
Jean-Marc DUPONT,PS-GC,Oui/Ja,H,64,Martigny,20221025151529
Christian ESCHER,CSPO,Oui/Ja,H,43,Brig,20221025151529
Florian EVEQUOZ,AC,Oui/Ja,H,41,Conthey,20221025151529
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20221025151529
Natascha FARQUET,VLR,Oui/Ja,F,40,Martigny,20221025151529
Mélanie FOLLONIER,VLR,Oui/Ja,F,30,Hérens,20221025151529
Sandro FONTANA,Le Centre,Oui/Ja,H,56,Monthey,20221025151529
Jérôme FORMAZ,UDC,Non/Nein,H,46,Entremont,20221025151529
Sabine FOURNIER,LES VERTS,Oui/Ja,F,47,St-Maurice,20221025151529
Pascale FUMEAUX,AC,Oui/Ja,F,40,Conthey,20221025151529
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,56,Hérens,20221025151529
Marc-Antoine GENOLET,UDC,Non/Nein,H,58,Hérens,20221025151529
François GENOUD,VLR,Oui/Ja,H,70,Sierre,20221025151529
Géraldine GIANADDA,VLR,Oui/Ja,F,55,Martigny,20221025151529
Anne-Marie GRAND,Le Centre,Oui/Ja,F,50,Conthey,20221025151529
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,53,Martigny,20221025151529
Ida HÄFLIGER,CSPO,Oui/Ja,F,65,Visp,20221025151529
Christelle HERITIER,VLR,Oui/Ja,F,37,Sion,20221025151529
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,48,Brig,20221025151529
Lukas JÄGER,SVPO,Non/Nein,H,67,Leuk,20221025151529
Dominik KNUBEL,Die Mitte Oberwallis,Oui/Ja,H,42,Westlich Raron,20221025151529
Michael KREUZER,SVPO,Non/Nein,H,33,Visp,20221025151529
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,63,Leuk,20221025151529
Alain LÉGER,Le Centre,Oui/Ja,H,44,Martigny,20221025151529
Jean-François LOVEY,AC,Oui/Ja,H,67,Entremont,20221025151529
Damien LUISIER,Le Centre,Oui/Ja,H,29,Martigny,20221025151529
Vincent LUYET,AC,Oui/Ja,H,45,Sion,20221025151529
Natacha MARET,Le Centre,Oui/Ja,F,39,Entremont,20221025151529
Rainer MATHIER,Die Mitte Oberwallis,Non/Nein,H,65,Leuk,20221025151529
Kamy MAY,Le Centre,Oui/Ja,F,28,Entremont,20221025151529
Fabienne MURMANN,Die Mitte Oberwallis,Non/Nein,F,41,Leuk,20221025151529
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,65,Sierre,20221025151529
Claude NANÇOZ,VLR,Oui/Ja,H,70,Conthey,20221025151529
Bernard OBERHOLZER,AC,Oui/Ja,H,77,Monthey,20221025151529
Edmond PERRUCHOUD,UDC,Non/Nein,H,75,Sierre,20221025151529
Bernard PIGNAT,VLR,Non/Nein,H,69,Monthey,20221025151529
Frédéric PITTELOUD,Le Centre,Oui/Ja,H,47,Hérens,20221025151529
Emilie PRAZ,AC,Oui/Ja,F,36,Sion,20221025151529
Pierre-Alain RAEMY,VLR,Oui/Ja,H,61,Sion,20221025151529
Célina RAMSAUER,AC,Oui/Ja,F,45,Sierre,20221025151529
Kurt REGOTZ,CSPO,Non/Nein,H,69,Brig,20221025151529
Jean-Pierre REY,VLR,Oui/Ja,H,59,Sierre,20221025151529
Caroline REYNARD,PS-GC,Oui/Ja,F,26,Sion,20221025151529
Janine REY-SIGGEN,PS-GC,Oui/Ja,F,62,Sierre,20221025151529
Jean-Yves RIAND,AC,Oui/Ja,H,66,Sion,20221025151529
Martine ROUILLER,AC,Oui/Ja,F,40,St-Maurice,20221025151529
Christine ROUX,Le Centre,Oui/Ja,F,60,Sion,20221025151529
