name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,33,Visp,20211123121847
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,32,Brig,20211123121847
Romano AMACKER,SVPO,Non/Nein,H,24,Westlich Raron,20211123121847
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,58,Brig,20211123121847
Peter BÄHLER,SVPO,Non/Nein,H,68,Goms,20211123121847
Gabrielle BARRAS,UDC,Non/Nein,F,58,Sion,20211123121847
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20211123121847
Philippe BENDER,VLR,Abst./Enth.,H,71,Martigny,20211123121847
Claudy BESSE,UDC,Abst./Enth.,H,57,Monthey,20211123121847
Jacques BLANC,AC,Oui/Ja,H,67,Hérens,20211123121847
Jean BONNARD,AC,Oui/Ja,H,72,Sion,20211123121847
Alex BONVIN,UDC,Non/Nein,H,62,Sierre,20211123121847
Nicolas BONVIN,PDC,Non/Nein,H,32,Sierre,20211123121847
Sophie BORNET,PDC,Non/Nein,F,53,Conthey,20211123121847
Hermann BRUNNER,CSPO,Abst./Enth.,H,67,Westlich Raron,20211123121847
Michael BURGENER,CVPO,Non/Nein,H,40,Visp,20211123121847
Paul BURGENER,CVPO,Non/Nein,H,68,Visp,20211123121847
Peter BURRI,ZUK-VS,Non/Nein,H,56,Visp,20211123121847
Mathieu CALOZ,VLR,Non/Nein,H,28,Sierre,20211123121847
Florence CARRON DARBELLAY,PDC,Non/Nein,F,48,Martigny,20211123121847
Patricia CASAYS,PDC,Oui/Ja,F,74,Monthey,20211123121847
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,74,Martigny,20211123121847
Stéphane CLAVIEN,VLR,Oui/Ja,H,64,Sierre,20211123121847
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,60,Sierre,20211123121847
Adeline CRETTENAND,VLR,Abst./Enth.,F,27,Martigny,20211123121847
Narcisse CRETTENAND,VLR,Abst./Enth.,H,66,Martigny,20211123121847
Blaise CRETTOL,AC,Oui/Ja,H,49,Sierre,20211123121847
Cilette CRETTON,AC,Oui/Ja,F,76,Martigny,20211123121847
Lucile CURDY,AdG,Oui/Ja,F,22,Conthey,20211123121847
Alina DARBELLAY,LES VERTS,Oui/Ja,F,54,Sion,20211123121847
Pierre DARBELLAY,PDC,Non/Nein,H,33,Entremont,20211123121847
Olivier DERIVAZ,AdG,Oui/Ja,H,57,Monthey,20211123121847
Ralph DESSIMOZ,PDC,Non/Nein,H,57,Conthey,20211123121847
Arnaud DUBOIS,VLR,Abst./Enth.,H,36,Monthey,20211123121847
Corinne DUC BONVIN,AdG,Oui/Ja,F,54,Sierre,20211123121847
Sophie DUCREY,AC,Oui/Ja,F,26,Monthey,20211123121847
Marius DUMOULIN,PDC,Non/Nein,H,66,Sion,20211123121847
Jean-Marc DUPONT,AdG,Oui/Ja,H,63,Martigny,20211123121847
