name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,33,Visp,20211125095327
Claudia ALPIGER,ZUK-VS,Non/Nein,F,32,Brig,20211125095327
Romano AMACKER,SVPO,Oui/Ja,H,24,Westlich Raron,20211125095327
Peter BÄHLER,SVPO,Oui/Ja,H,68,Goms,20211125095327
Gabrielle BARRAS,UDC,Oui/Ja,F,58,Sion,20211125095327
Léonard BENDER,AC,Non/Nein,H,54,Martigny,20211125095327
Philippe BENDER,VLR,Oui/Ja,H,71,Martigny,20211125095327
Claudy BESSE,UDC,Oui/Ja,H,57,Monthey,20211125095327
Jacques BLANC,AC,Non/Nein,H,67,Hérens,20211125095327
Vincent BOAND,UDC,Oui/Ja,H,36,Sion,20211125095327
Jean BONNARD,AC,Oui/Ja,H,72,Sion,20211125095327
Alex BONVIN,UDC,Oui/Ja,H,62,Sierre,20211125095327
Nicolas BONVIN,PDC,Oui/Ja,H,32,Sierre,20211125095327
Sophie BORNET,PDC,Oui/Ja,F,53,Conthey,20211125095327
Gaël BOURGEOIS,AdG,Non/Nein,H,38,Martigny,20211125095327
Hermann BRUNNER,CSPO,Oui/Ja,H,67,Westlich Raron,20211125095327
Michael BURGENER,CVPO,Oui/Ja,H,40,Visp,20211125095327
Paul BURGENER,CVPO,Non/Nein,H,68,Visp,20211125095327
Peter BURRI,ZUK-VS,Oui/Ja,H,56,Visp,20211125095327
Mathieu CALOZ,VLR,Oui/Ja,H,28,Sierre,20211125095327
Florine CARRON,LES VERTS,Non/Nein,F,43,Martigny,20211125095327
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,48,Martigny,20211125095327
Patricia CASAYS,PDC,Oui/Ja,F,74,Monthey,20211125095327
Nicolas CHABLAIS,VLR,Oui/Ja,H,33,Monthey,20211125095327
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,74,Martigny,20211125095327
Stéphane CLAVIEN,VLR,Non/Nein,H,64,Sierre,20211125095327
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,60,Sierre,20211125095327
Adeline CRETTENAND,VLR,Oui/Ja,F,27,Martigny,20211125095327
Narcisse CRETTENAND,VLR,Oui/Ja,H,66,Martigny,20211125095327
Blaise CRETTOL,AC,Oui/Ja,H,49,Sierre,20211125095327
Cilette CRETTON,AC,Non/Nein,F,76,Martigny,20211125095327
Lucile CURDY,AdG,Non/Nein,F,22,Conthey,20211125095327
Alina DARBELLAY,LES VERTS,Non/Nein,F,54,Sion,20211125095327
Olivier DERIVAZ,AdG,Non/Nein,H,57,Monthey,20211125095327
Ralph DESSIMOZ,PDC,Oui/Ja,H,57,Conthey,20211125095327
Arnaud DUBOIS,VLR,Oui/Ja,H,36,Monthey,20211125095327
Corinne DUC BONVIN,AdG,Non/Nein,F,54,Sierre,20211125095327
Sophie DUCREY,AC,Non/Nein,F,26,Monthey,20211125095327
Marius DUMOULIN,PDC,Oui/Ja,H,66,Sion,20211125095327
Jean-Marc DUPONT,AdG,Non/Nein,H,63,Martigny,20211125095327
Christian ESCHER,CSPO,Oui/Ja,H,42,Brig,20211125095327
Florian EVEQUOZ,AC,Non/Nein,H,40,Conthey,20211125095327
German EYER,ZUK-VS,Non/Nein,H,61,Brig,20211125095327
Florent FAVRE,PDC,Oui/Ja,H,27,Conthey,20211125095327
Sandro FONTANA,PDC,Oui/Ja,H,55,Monthey,20211125095327
Jérôme FORMAZ,UDC,Oui/Ja,H,45,Entremont,20211125095327
Sabine FOURNIER,LES VERTS,Non/Nein,F,46,St-Maurice,20211125095327
Pascale FUMEAUX,AC,Non/Nein,F,39,Conthey,20211125095327
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,55,Hérens,20211125095327
Marc-Antoine GENOLET,UDC,Oui/Ja,H,57,Hérens,20211125095327
François GENOUD,VLR,Oui/Ja,H,69,Sierre,20211125095327
Vincent GÜNTHER,LES VERTS,Non/Nein,H,52,Martigny,20211125095327
Ida HÄFLIGER,CSPO,Oui/Ja,F,64,Visp,20211125095327
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,47,Brig,20211125095327
Lukas JÄGER,SVPO,Oui/Ja,H,66,Leuk,20211125095327
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,50,Westlich Raron,20211125095327
Dominik KNUBEL,CVPO,Oui/Ja,H,41,Westlich Raron,20211125095327
Michael KREUZER,SVPO,Oui/Ja,H,32,Visp,20211125095327
Ralph KUMMER,SVPO,Oui/Ja,H,43,Brig,20211125095327
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,62,Leuk,20211125095327
Alain LÉGER,PDC,Oui/Ja,H,43,Martigny,20211125095327
Jean-François LOVEY,AC,Non/Nein,H,67,Entremont,20211125095327
Damien LUISIER,PDC,Oui/Ja,H,28,Martigny,20211125095327
Natacha MARET,PDC,Oui/Ja,F,38,Entremont,20211125095327
Rainer MATHIER,CVPO,Oui/Ja,H,64,Leuk,20211125095327
Thomas MATTER,CSPO,Oui/Ja,H,55,Leuk,20211125095327
Kamy MAY,PDC,Oui/Ja,F,27,Entremont,20211125095327
