name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Non/Nein,H,34,Visp,20221006114020
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,33,Brig,20221006114020
Romano AMACKER,SVPO,Oui/Ja,H,25,Westlich Raron,20221006114020
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Non/Nein,F,59,Brig,20221006114020
Gabrielle BARRAS,UDC,Oui/Ja,F,59,Sion,20221006114020
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20221006114020
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20221006114020
Claudy BESSE,UDC,Non/Nein,H,58,Monthey,20221006114020
Jacques BLANC,AC,Oui/Ja,H,68,Hérens,20221006114020
Vincent BOAND,UDC,Oui/Ja,H,37,Sion,20221006114020
Alex BONVIN,UDC,Oui/Ja,H,63,Sierre,20221006114020
Nicolas BONVIN,Le Centre,Non/Nein,H,33,Sierre,20221006114020
Sophie BORNET,Le Centre,Non/Nein,F,54,Conthey,20221006114020
Gaël BOURGEOIS,PS-GC,Oui/Ja,H,39,Martigny,20221006114020
Hermann BRUNNER,CSPO,Non/Nein,H,68,Westlich Raron,20221006114020
Michael BURGENER,Die Mitte Oberwallis,Non/Nein,H,41,Visp,20221006114020
Paul BURGENER,Die Mitte Oberwallis,Non/Nein,H,69,Visp,20221006114020
Peter BURRI,ZUK-VS,Oui/Ja,H,57,Visp,20221006114020
Mathieu CALOZ,VLR,Oui/Ja,H,29,Sierre,20221006114020
Chantal CARLEN,Die Mitte Oberwallis,Oui/Ja,F,30,Goms,20221006114020
Florine CARRON,LES VERTS,Non/Nein,F,44,Martigny,20221006114020
Florence CARRON DARBELLAY,Le Centre,Oui/Ja,F,49,Martigny,20221006114020
Patricia CASAYS,Le Centre,Non/Nein,F,75,Monthey,20221006114020
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,75,Martigny,20221006114020
Stéphane CLAVIEN,VLR,Oui/Ja,H,65,Sierre,20221006114020
Damien CLERC,Le Centre,Non/Nein,H,41,Conthey,20221006114020
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,61,Sierre,20221006114020
Adeline CRETTENAND,VLR,Oui/Ja,F,28,Martigny,20221006114020
Narcisse CRETTENAND,VLR,Oui/Ja,H,67,Martigny,20221006114020
Blaise CRETTOL,AC,Oui/Ja,H,50,Sierre,20221006114020
Cilette CRETTON,AC,Oui/Ja,F,77,Martigny,20221006114020
Lucile CURDY,PS-GC,Oui/Ja,F,23,Conthey,20221006114020
Alina DARBELLAY,LES VERTS,Oui/Ja,F,55,Sion,20221006114020
Pierre DARBELLAY,Le Centre,Non/Nein,H,34,Entremont,20221006114020
Olivier DERIVAZ,PS-GC,Oui/Ja,H,58,Monthey,20221006114020
Arnaud DUBOIS,VLR,Oui/Ja,H,37,Monthey,20221006114020
Alain DUBOSSON,UDC,Non/Nein,H,23,Monthey,20221006114020
Corinne DUC BONVIN,PS-GC,Non/Nein,F,55,Sierre,20221006114020
Sophie DUCREY,AC,Oui/Ja,F,27,Monthey,20221006114020
Marius DUMOULIN,Le Centre,Non/Nein,H,67,Sion,20221006114020
Jean-Marc DUPONT,PS-GC,Non/Nein,H,64,Martigny,20221006114020
Florian EVEQUOZ,AC,Oui/Ja,H,41,Conthey,20221006114020
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20221006114020
