name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,31,Visp,20190429172348
Claudia ALPIGER,ZUK-VS,Non/Nein,F,30,Brig,20190429172348
Romano AMACKER,SVPO,Oui/Ja,H,21,Westlich Raron,20190429172348
Maria ARNOLD-ESCHER,CVPO,Oui/Ja,H,56,Brig,20190429172348
Peter BÄHLER,SVPO,Abst./Enth.,H,66,Goms,20190429172348
Fabrice BENDER,VLR,Oui/Ja,H,49,St-Maurice,20190429172348
Léonard BENDER,AC,Non/Nein,H,51,Martigny,20190429172348
Philippe BENDER,VLR,Oui/Ja,H,68,Martigny,20190429172348
Claudy BESSE,UDC,Non/Nein,H,55,Monthey,20190429172348
Jacques BLANC,AC,Non/Nein,H,64,Hérens,20190429172348
Jean BONNARD,AC,Oui/Ja,H,69,Sion,20190429172348
Nicolas BONVIN,PDC,Non/Nein,H,29,Sierre,20190429172348
Sophie BORNET,PDC,Non/Nein,F,51,Conthey,20190429172348
Gaël BOURGEOIS,AdG,Oui/Ja,H,35,Martigny,20190429172348
Hermann BRUNNER,CSPO,Non/Nein,H,64,Westlich Raron,20190429172348
Paul BURGENER,CVPO,Oui/Ja,H,65,Visp,20190429172348
Peter BURRI,ZUK-VS,Oui/Ja,H,54,Visp,20190429172348
Mathieu CALOZ,VLR,Oui/Ja,H,26,Sierre,20190429172348
Chantal CARLEN,CVPO,Oui/Ja,F,27,Goms,20190429172348
Florine CARRON,LES VERTS,Abst./Enth.,F,41,Martigny,20190429172348
Florence CARRON DARBELLAY,PDC,Non/Nein,F,45,Martigny,20190429172348
Patricia CASAYS,PDC,Non/Nein,F,72,Monthey,20190429172348
Nicolas CHABLAIS,VLR,Oui/Ja,H,31,Monthey,20190429172348
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,72,Martigny,20190429172348
Damien CLERC,PDC,Non/Nein,H,37,Conthey,20190429172348
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,58,Sierre,20190429172348
Adeline CRETTENAND,VLR,Oui/Ja,F,25,Martigny,20190429172348
Narcisse CRETTENAND,VLR,Oui/Ja,H,63,Martigny,20190429172348
Blaise CRETTOL,AC,Oui/Ja,H,47,Sierre,20190429172348
Cilette CRETTON,AC,Oui/Ja,F,73,Martigny,20190429172348
Lucile CURDY,AdG,Oui/Ja,F,20,Conthey,20190429172348
Pierre DARBELLAY,PDC,Non/Nein,H,30,Entremont,20190429172348
Olivier DERIVAZ,AdG,Oui/Ja,H,55,Monthey,20190429172348
Ralph DESSIMOZ,PDC,Non/Nein,H,54,Conthey,20190429172348
Arnaud DUBOIS,VLR,Oui/Ja,H,34,Monthey,20190429172348
Alain DUBOSSON,UDC,Non/Nein,H,20,Monthey,20190429172348
Corinne DUC BONVIN,AdG,Abst./Enth.,F,51,Sierre,20190429172348
Sophie DUCREY,AC,Oui/Ja,F,24,Monthey,20190429172348
Marius DUMOULIN,PDC,Non/Nein,H,64,Sion,20190429172348
Jean-Marc DUPONT,AdG,Oui/Ja,H,60,Martigny,20190429172348
Christian ESCHER,CSPO,Oui/Ja,H,40,Brig,20190429172348
Florian EVEQUOZ,AC,Non/Nein,H,38,Conthey,20190429172348
German EYER,ZUK-VS,Oui/Ja,H,58,Brig,20190429172348
Cyrille FAUCHERE,UDC,Non/Nein,H,37,Sion,20190429172348
Florent FAVRE,PDC,Non/Nein,H,25,Conthey,20190429172348
Mélanie FOLLONIER,VLR,Oui/Ja,F,27,Hérens,20190429172348
Sandro FONTANA,PDC,Non/Nein,H,53,Monthey,20190429172348
Blaise FOURNIER,LES VERTS,Abst./Enth.,H,28,Sion,20190429172348
Sabine FOURNIER,LES VERTS,Non/Nein,F,44,St-Maurice,20190429172348
Damien FUMEAUX,UDC,Non/Nein,H,21,Conthey,20190429172348
Pascale FUMEAUX,AC,Oui/Ja,F,37,Conthey,20190429172348
Egon FURRER,CVPO,Non/Nein,H,61,Visp,20190429172348
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,52,Hérens,20190429172348
Marc-Antoine GENOLET,UDC,Non/Nein,H,55,Hérens,20190429172348
François GENOUD,VLR,Oui/Ja,H,66,Sierre,20190429172348
Jean-Charles GERMANIER,VLR,Oui/Ja,H,71,Conthey,20190429172348
Géraldine GIANADDA,VLR,Oui/Ja,F,51,Martigny,20190429172348
Géraldine GRANGES-GUENOT,UDC,Non/Nein,F,43,Martigny,20190429172348
Vincent GÜNTHER,LES VERTS,Non/Nein,H,50,Martigny,20190429172348
Ida HÄFLIGER,CSPO,Oui/Ja,F,62,Visp,20190429172348
Christelle HERITIER,VLR,Abst./Enth.,F,34,Sion,20190429172348
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,45,Brig,20190429172348
Philip JAFFE,VLR,Abst./Enth.,H,60,Sion,20190429172348
Lukas JÄGER,SVPO,Non/Nein,H,64,Leuk,20190429172348
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,48,Westlich Raron,20190429172348
Kevin KARLEN,CVPO,Oui/Ja,H,26,Visp,20190429172348
Dominik KNUBEL,CVPO,Oui/Ja,H,39,Westlich Raron,20190429172348
Michael KREUZER,SVPO,Oui/Ja,H,30,Visp,20190429172348
Ralph KUMMER,SVPO,Oui/Ja,H,40,Brig,20190429172348
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,60,Leuk,20190429172348
Alain LÉGER,PDC,Non/Nein,H,41,Martigny,20190429172348
Jean-François LOVEY,AC,Oui/Ja,H,64,Entremont,20190429172348
Damien LUISIER,PDC,Oui/Ja,H,26,Martigny,20190429172348
Vincent LUYET,AC,Oui/Ja,H,41,Sion,20190429172348
Natacha MARET,PDC,Non/Nein,F,35,Entremont,20190429172348
Rainer MATHIER,CVPO,Non/Nein,H,62,Leuk,20190429172348
Thomas MATTER,CSPO,Non/Nein,H,53,Leuk,20190429172348
Kamy MAY,PDC,Non/Nein,F,25,Entremont,20190429172348
Nicolas METTAN,PDC,Non/Nein,H,58,St-Maurice,20190429172348
Natascha MÖRI,VLR,Oui/Ja,F,37,Martigny,20190429172348
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,62,Sierre,20190429172348
Bernard OBERHOLZER,AC,Oui/Ja,H,73,Monthey,20190429172348
Noémie PERNET,VLR,Oui/Ja,F,24,Sierre,20190429172348
Edmond PERRUCHOUD,UDC,Non/Nein,H,72,Sierre,20190429172348
Frédéric PITTELOUD,PDC,Non/Nein,H,44,Hérens,20190429172348
Géraldine POUGET-ZUFFEREY,PDC,Non/Nein,F,29,Sierre,20190429172348
Emilie PRAZ,AC,Oui/Ja,F,33,Sion,20190429172348
François QUENNOZ,UDC,Abst./Enth.,H,26,Sion,20190429172348
Damien RABOUD,UDC,Non/Nein,H,33,Monthey,20190429172348
Célina RAMSAUER,AC,Non/Nein,F,42,Sierre,20190429172348
Kurt REGOTZ,CSPO,Oui/Ja,H,66,Brig,20190429172348
Jean-Pierre REY,VLR,Non/Nein,H,56,Sierre,20190429172348
Caroline REYNARD,AdG,Abst./Enth.,F,23,Sion,20190429172348
Janine REY-SIGGEN,AdG,Non/Nein,F,59,Sierre,20190429172348
Johan ROCHEL,AC,Oui/Ja,H,35,Monthey,20190429172348
Yann RODUIT,PDC,Non/Nein,H,44,Sion,20190429172348
Martine ROUILLER,AC,Oui/Ja,F,37,St-Maurice,20190429172348
Léa ROUILLER DESSIMOZ,LES VERTS,Oui/Ja,F,19,Conthey,20190429172348
Christine ROUX,PDC,Non/Nein,F,57,Sion,20190429172348
Felix RUPPEN,CVPO,Oui/Ja,H,58,Brig,20190429172348
Gérard SALAMIN,PDC,Non/Nein,H,56,Sierre,20190429172348
Mathieu SARRASIN,VLR,Oui/Ja,H,58,Entremont,20190429172348
Jean-Marc SAVIOZ,PDC,Non/Nein,H,49,Sierre,20190429172348
Pierre SCHERTENLEIB,AdG,Oui/Ja,H,66,Sion,20190429172348
Gerhard SCHMID,CVPO,Oui/Ja,H,71,Östlich Raron,20190429172348
Remo SCHNYDER,SVPO,Oui/Ja,H,44,Brig,20190429172348
Alain SCHÖNBETT,VLR,Oui/Ja,H,64,Monthey,20190429172348
Ruth STALDER,VLR,Oui/Ja,F,57,Sion,20190429172348
Fabien THETAZ,AdG,Non/Nein,H,33,Monthey,20190429172348
Bernard TROILLET,PDC,Oui/Ja,H,65,Martigny,20190429172348
Jean-Baptiste UDRESSY,UDC,Non/Nein,H,26,Monthey,20190429172348
Romain UDRY,VLR,Oui/Ja,H,26,Conthey,20190429172348
Grégoire VANNAY,PDC,Non/Nein,H,49,Monthey,20190429172348
Georges VIONNET,LES VERTS,Oui/Ja,H,65,Monthey,20190429172348
Jenny VOEFFRAY,PDC,Non/Nein,F,44,St-Maurice,20190429172348
Damien VOGEL,UDC,Non/Nein,H,25,Entremont,20190429172348
Laurence VUAGNIAUX,LES VERTS,Oui/Ja,F,44,Sion,20190429172348
Côme VUILLE,VLR,Oui/Ja,H,32,Monthey,20190429172348
Joséphine WAEBER,PDC,Non/Nein,F,34,Sierre,20190429172348
Rafael WELSCHEN,CVPO,Oui/Ja,H,31,Brig,20190429172348
Leander WILLINER,CSPO,Oui/Ja,H,65,Brig,20190429172348
Marie ZUCHUAT,PDC,Non/Nein,F,32,Sion,20190429172348
Fabian ZURBRIGGEN,SVPO,Abst./Enth.,H,45,Visp,20190429172348
Alex BONVIN,UDC,Aucun/Keine,H,60,Sierre,20190429172348
Fabienne MURMANN,CVPO,Aucun/Keine,F,38,Leuk,20190429172348
Bruno PERROUD,UDC,Aucun/Keine,H,51,Sion,20190429172348
Flavio SCHMID,CSPO,Aucun/Keine,H,34,Visp,20190429172348
Jean ZERMATTEN,AC,Aucun/Keine,H,71,Sion,20190429172348
Rahel ZIMMERMANN,ZUK-VS,Aucun/Keine,F,34,Visp,20190429172348
Danica ZURBRIGGEN LEHNER,CSPO,Aucun/Keine,F,39,Visp,20190429172348
