name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,32,Visp,20201116145330
Claudia ALPIGER,ZUK-VS,Non/Nein,F,31,Brig,20201116145330
Romano AMACKER,SVPO,Oui/Ja,H,23,Westlich Raron,20201116145330
Maria ARNOLD-ESCHER,CVPO,Oui/Ja,F,57,Brig,20201116145330
Gabrielle BARRAS,UDC,Oui/Ja,F,57,Sion,20201116145330
Fabrice BENDER,VLR,Non/Nein,H,51,St-Maurice,20201116145330
Léonard BENDER,AC,Non/Nein,H,52,Martigny,20201116145330
Philippe BENDER,VLR,Non/Nein,H,70,Martigny,20201116145330
Vincent BOAND,UDC,Oui/Ja,H,35,Sion,20201116145330
Jean BONNARD,AC,Non/Nein,H,71,Sion,20201116145330
Alex BONVIN,UDC,Oui/Ja,H,61,Sierre,20201116145330
Nicolas BONVIN,PDC,Non/Nein,H,31,Sierre,20201116145330
Sophie BORNET,PDC,Non/Nein,F,52,Conthey,20201116145330
Gaël BOURGEOIS,AdG,Non/Nein,H,37,Martigny,20201116145330
Hermann BRUNNER,CSPO,Non/Nein,H,66,Westlich Raron,20201116145330
Michael BURGENER,CVPO,Oui/Ja,H,39,Visp,20201116145330
Paul BURGENER,CVPO,Non/Nein,H,67,Visp,20201116145330
Peter BURRI,ZUK-VS,Oui/Ja,H,55,Visp,20201116145330
Mathieu CALOZ,VLR,Non/Nein,H,27,Sierre,20201116145330
Florine CARRON,LES VERTS,Non/Nein,F,42,Martigny,20201116145330
Florence CARRON DARBELLAY,PDC,Non/Nein,F,47,Martigny,20201116145330
Patricia CASAYS,PDC,Non/Nein,F,73,Monthey,20201116145330
Nicolas CHABLAIS,VLR,Non/Nein,H,32,Monthey,20201116145330
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,73,Martigny,20201116145330
Stéphane CLAVIEN,VLR,Non/Nein,H,63,Sierre,20201116145330
Damien CLERC,PDC,Non/Nein,H,39,Conthey,20201116145330
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,59,Sierre,20201116145330
Adeline CRETTENAND,VLR,Non/Nein,F,26,Martigny,20201116145330
Narcisse CRETTENAND,VLR,Non/Nein,H,65,Martigny,20201116145330
Cilette CRETTON,AC,Non/Nein,F,75,Martigny,20201116145330
Lucile CURDY,AdG,Non/Nein,F,21,Conthey,20201116145330
Alina DARBELLAY,LES VERTS,Oui/Ja,F,53,Sion,20201116145330
Pierre DARBELLAY,PDC,Non/Nein,H,32,Entremont,20201116145330
Olivier DERIVAZ,AdG,Non/Nein,H,56,Monthey,20201116145330
Ralph DESSIMOZ,PDC,Non/Nein,H,56,Conthey,20201116145330
Arnaud DUBOIS,VLR,Non/Nein,H,35,Monthey,20201116145330
Alain DUBOSSON,UDC,Oui/Ja,H,21,Monthey,20201116145330
Corinne DUC BONVIN,AdG,Non/Nein,F,53,Sierre,20201116145330
Sophie DUCREY,AC,Non/Nein,F,25,Monthey,20201116145330
Marius DUMOULIN,PDC,Non/Nein,H,65,Sion,20201116145330
Jean-Marc DUPONT,AdG,Non/Nein,H,62,Martigny,20201116145330
Florian EVEQUOZ,AC,Non/Nein,H,39,Conthey,20201116145330
German EYER,ZUK-VS,Non/Nein,H,59,Brig,20201116145330
Natascha FARQUET,VLR,Non/Nein,F,38,Martigny,20201116145330
Florent FAVRE,PDC,Non/Nein,H,26,Conthey,20201116145330
Mélanie FOLLONIER,VLR,Non/Nein,F,28,Hérens,20201116145330
Sandro FONTANA,PDC,Non/Nein,H,54,Monthey,20201116145330
Jérôme FORMAZ,UDC,Oui/Ja,H,44,Entremont,20201116145330
Sabine FOURNIER,LES VERTS,Non/Nein,F,45,St-Maurice,20201116145330
Damien FUMEAUX,UDC,Oui/Ja,H,22,Conthey,20201116145330
Pascale FUMEAUX,AC,Non/Nein,F,38,Conthey,20201116145330
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,54,Hérens,20201116145330
Marc-Antoine GENOLET,UDC,Oui/Ja,H,56,Hérens,20201116145330
François GENOUD,VLR,Non/Nein,H,68,Sierre,20201116145330
Géraldine GIANADDA,VLR,Non/Nein,F,53,Martigny,20201116145330
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,51,Martigny,20201116145330
Ida HÄFLIGER,CSPO,Non/Nein,F,63,Visp,20201116145330
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,46,Brig,20201116145330
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,49,Westlich Raron,20201116145330
Michael KREUZER,SVPO,Oui/Ja,H,31,Visp,20201116145330
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,61,Leuk,20201116145330
Alain LÉGER,PDC,Non/Nein,H,42,Martigny,20201116145330
Jean-François LOVEY,AC,Non/Nein,H,65,Entremont,20201116145330
Damien LUISIER,PDC,Non/Nein,H,27,Martigny,20201116145330
Vincent LUYET,AC,Non/Nein,H,43,Sion,20201116145330
Natacha MARET,PDC,Non/Nein,F,37,Entremont,20201116145330
Rainer MATHIER,CVPO,Non/Nein,H,63,Leuk,20201116145330
Thomas MATTER,CSPO,Non/Nein,H,54,Leuk,20201116145330
Kamy MAY,PDC,Non/Nein,F,26,Entremont,20201116145330
Nicolas METTAN,PDC,Non/Nein,H,59,St-Maurice,20201116145330
Fabienne MURMANN,CVPO,Oui/Ja,F,39,Leuk,20201116145330
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,63,Sierre,20201116145330
Claude NANÇOZ,VLR,Non/Nein,H,68,Conthey,20201116145330
Bernard OBERHOLZER,AC,Non/Nein,H,75,Monthey,20201116145330
Frédéric PITTELOUD,PDC,Non/Nein,H,45,Hérens,20201116145330
Géraldine POUGET-ZUFFEREY,PDC,Non/Nein,F,30,Sierre,20201116145330
François QUENNOZ,UDC,Oui/Ja,H,27,Sion,20201116145330
Damien RABOUD,UDC,Non/Nein,H,34,Monthey,20201116145330
Pierre-Alain RAEMY,VLR,Non/Nein,H,59,Sion,20201116145330
Célina RAMSAUER,AC,Non/Nein,F,44,Sierre,20201116145330
Kurt REGOTZ,CSPO,Non/Nein,H,67,Brig,20201116145330
Jean-Pierre REY,VLR,Non/Nein,H,57,Sierre,20201116145330
Caroline REYNARD,AdG,Non/Nein,F,24,Sion,20201116145330
Janine REY-SIGGEN,AdG,Non/Nein,F,60,Sierre,20201116145330
Johan ROCHEL,AC,Non/Nein,H,36,Monthey,20201116145330
Yann RODUIT,PDC,Non/Nein,H,46,Sion,20201116145330
Martine ROUILLER,AC,Non/Nein,F,38,St-Maurice,20201116145330
Léa ROUILLER DESSIMOZ,LES VERTS,Oui/Ja,F,20,Conthey,20201116145330
Christine ROUX,PDC,Non/Nein,F,58,Sion,20201116145330
Felix RUPPEN,CVPO,Oui/Ja,H,59,Brig,20201116145330
Gérard SALAMIN,PDC,Non/Nein,H,57,Sierre,20201116145330
Mathieu SARRASIN,VLR,Non/Nein,H,59,Entremont,20201116145330
Jean-Marc SAVIOZ,PDC,Non/Nein,H,50,Sierre,20201116145330
Pierre SCHERTENLEIB,AdG,Non/Nein,H,67,Sion,20201116145330
Remo SCHNYDER,SVPO,Oui/Ja,H,46,Brig,20201116145330
Alain SCHÖNBETT,VLR,Non/Nein,H,65,Monthey,20201116145330
Martin SCHÜRCH,CVPO,Oui/Ja,H,48,Visp,20201116145330
