name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,33,Visp,20211209114139
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,32,Brig,20211209114139
Romano AMACKER,SVPO,Non/Nein,H,24,Westlich Raron,20211209114139
Peter BÄHLER,SVPO,Non/Nein,H,68,Goms,20211209114139
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20211209114139
Philippe BENDER,VLR,Oui/Ja,H,71,Martigny,20211209114139
Claudy BESSE,UDC,Oui/Ja,H,57,Monthey,20211209114139
Jacques BLANC,AC,Oui/Ja,H,67,Hérens,20211209114139
Vincent BOAND,UDC,Non/Nein,H,36,Sion,20211209114139
Nicolas BONVIN,PDC,Oui/Ja,H,32,Sierre,20211209114139
Gaël BOURGEOIS,AdG,Oui/Ja,H,38,Martigny,20211209114139
Hermann BRUNNER,CSPO,Oui/Ja,H,67,Westlich Raron,20211209114139
Michael BURGENER,CVPO,Oui/Ja,H,40,Visp,20211209114139
Paul BURGENER,CVPO,Oui/Ja,H,68,Visp,20211209114139
Peter BURRI,ZUK-VS,Oui/Ja,H,56,Visp,20211209114139
Mathieu CALOZ,VLR,Oui/Ja,H,28,Sierre,20211209114139
Florine CARRON,LES VERTS,Oui/Ja,F,43,Martigny,20211209114139
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,48,Martigny,20211209114139
Patricia CASAYS,PDC,Oui/Ja,F,74,Monthey,20211209114139
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,74,Martigny,20211209114139
Stéphane CLAVIEN,VLR,Oui/Ja,H,64,Sierre,20211209114139
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,60,Sierre,20211209114139
Adeline CRETTENAND,VLR,Abst./Enth.,F,27,Martigny,20211209114139
Narcisse CRETTENAND,VLR,Oui/Ja,H,66,Martigny,20211209114139
Lucile CURDY,AdG,Oui/Ja,F,22,Conthey,20211209114139
Alina DARBELLAY,LES VERTS,Oui/Ja,F,54,Sion,20211209114139
Olivier DERIVAZ,AdG,Oui/Ja,H,57,Monthey,20211209114139
Ralph DESSIMOZ,PDC,Oui/Ja,H,57,Conthey,20211209114139
Arnaud DUBOIS,VLR,Oui/Ja,H,36,Monthey,20211209114139
Sophie DUCREY,AC,Oui/Ja,F,26,Monthey,20211209114139
Jean-Marc DUPONT,AdG,Oui/Ja,H,63,Martigny,20211209114139
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20211209114139
Florent FAVRE,PDC,Oui/Ja,H,27,Conthey,20211209114139
Sandro FONTANA,PDC,Oui/Ja,H,55,Monthey,20211209114139
Jérôme FORMAZ,UDC,Oui/Ja,H,45,Entremont,20211209114139
Sabine FOURNIER,LES VERTS,Oui/Ja,F,46,St-Maurice,20211209114139
Damien FUMEAUX,UDC,Oui/Ja,H,24,Conthey,20211209114139
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,55,Hérens,20211209114139
Marc-Antoine GENOLET,UDC,Non/Nein,H,57,Hérens,20211209114139
François GENOUD,VLR,Oui/Ja,H,69,Sierre,20211209114139
Géraldine GRANGES GUENOT,UDC,Oui/Ja,F,46,Martigny,20211209114139
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,52,Martigny,20211209114139
Ida HÄFLIGER,CSPO,Oui/Ja,F,64,Visp,20211209114139
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,50,Westlich Raron,20211209114139
Dominik KNUBEL,CVPO,Oui/Ja,H,41,Westlich Raron,20211209114139
Michael KREUZER,SVPO,Non/Nein,H,32,Visp,20211209114139
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,62,Leuk,20211209114139
