name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,32,Visp,20201008154609
Claudia ALPIGER,ZUK-VS,Non/Nein,F,31,Brig,20201008154609
Romano AMACKER,SVPO,Non/Nein,H,23,Westlich Raron,20201008154609
Maria ARNOLD-ESCHER,CVPO,Oui/Ja,F,57,Brig,20201008154609
Peter BÄHLER,SVPO,Non/Nein,H,67,Goms,20201008154609
Fabrice BENDER,VLR,Non/Nein,H,51,St-Maurice,20201008154609
Léonard BENDER,AC,Non/Nein,H,52,Martigny,20201008154609
Philippe BENDER,VLR,Oui/Ja,H,70,Martigny,20201008154609
Claudy BESSE,UDC,Non/Nein,H,56,Monthey,20201008154609
Jacques BLANC,AC,Non/Nein,H,66,Hérens,20201008154609
Vincent BOAND,UDC,Non/Nein,H,35,Sion,20201008154609
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201008154609
Alex BONVIN,UDC,Non/Nein,H,61,Sierre,20201008154609
Nicolas BONVIN,PDC,Non/Nein,H,31,Sierre,20201008154609
Gaël BOURGEOIS,AdG,Non/Nein,H,37,Martigny,20201008154609
Hermann BRUNNER,CSPO,Oui/Ja,H,66,Westlich Raron,20201008154609
Michael BURGENER,CVPO,Oui/Ja,H,39,Visp,20201008154609
Paul BURGENER,CVPO,Oui/Ja,H,67,Visp,20201008154609
Peter BURRI,ZUK-VS,Non/Nein,H,55,Visp,20201008154609
Mathieu CALOZ,VLR,Non/Nein,H,27,Sierre,20201008154609
Chantal CARLEN,CVPO,Oui/Ja,F,28,Goms,20201008154609
Florine CARRON,LES VERTS,Non/Nein,F,42,Martigny,20201008154609
Florence CARRON DARBELLAY,PDC,Non/Nein,F,47,Martigny,20201008154609
Patricia CASAYS,PDC,Oui/Ja,F,73,Monthey,20201008154609
Nicolas CHABLAIS,VLR,Non/Nein,H,32,Monthey,20201008154609
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,73,Martigny,20201008154609
Stéphane CLAVIEN,VLR,Non/Nein,H,63,Sierre,20201008154609
Damien CLERC,PDC,Non/Nein,H,39,Conthey,20201008154609
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,59,Sierre,20201008154609
Adeline CRETTENAND,VLR,Non/Nein,F,26,Martigny,20201008154609
Narcisse CRETTENAND,VLR,Non/Nein,H,65,Martigny,20201008154609
Blaise CRETTOL,AC,Non/Nein,H,48,Sierre,20201008154609
Cilette CRETTON,AC,Non/Nein,F,75,Martigny,20201008154609
Lucile CURDY,AdG,Non/Nein,F,21,Conthey,20201008154609
Pierre DARBELLAY,PDC,Non/Nein,H,32,Entremont,20201008154609
Olivier DERIVAZ,AdG,Non/Nein,H,56,Monthey,20201008154609
Ralph DESSIMOZ,PDC,Non/Nein,H,56,Conthey,20201008154609
Alain DUBOSSON,UDC,Non/Nein,H,21,Monthey,20201008154609
Corinne DUC BONVIN,AdG,Non/Nein,F,53,Sierre,20201008154609
Sophie DUCREY,AC,Non/Nein,F,25,Monthey,20201008154609
Marius DUMOULIN,PDC,Non/Nein,H,65,Sion,20201008154609
Jean-Marc DUPONT,AdG,Non/Nein,H,62,Martigny,20201008154609
Christian ESCHER,CSPO,Abst./Enth.,H,41,Brig,20201008154609
Florian EVEQUOZ,AC,Non/Nein,H,39,Conthey,20201008154609
German EYER,ZUK-VS,Non/Nein,H,59,Brig,20201008154609
Florent FAVRE,PDC,Non/Nein,H,26,Conthey,20201008154609
Mélanie FOLLONIER,VLR,Non/Nein,F,28,Hérens,20201008154609
Sandro FONTANA,PDC,Non/Nein,H,54,Monthey,20201008154609
Jérôme FORMAZ,UDC,Oui/Ja,H,44,Entremont,20201008154609
Sabine FOURNIER,LES VERTS,Non/Nein,F,45,St-Maurice,20201008154609
Damien FUMEAUX,UDC,Non/Nein,H,22,Conthey,20201008154609
Pascale FUMEAUX,AC,Non/Nein,F,38,Conthey,20201008154609
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,54,Hérens,20201008154609
Marc-Antoine GENOLET,UDC,Non/Nein,H,56,Hérens,20201008154609
François GENOUD,VLR,Non/Nein,H,68,Sierre,20201008154609
Géraldine GRANGES-GUENOT,UDC,Non/Nein,F,45,Martigny,20201008154609
Vincent GÜNTHER,LES VERTS,Non/Nein,H,51,Martigny,20201008154609
Ida HÄFLIGER,CSPO,Non/Nein,F,63,Visp,20201008154609
