name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Non/Nein,H,34,Visp,20221006162415
Claudia ALPIGER,ZUK-VS,Non/Nein,F,33,Brig,20221006162415
Romano AMACKER,SVPO,Non/Nein,H,25,Westlich Raron,20221006162415
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Oui/Ja,F,59,Brig,20221006162415
Gabrielle BARRAS,UDC,Non/Nein,F,59,Sion,20221006162415
Léonard BENDER,AC,Non/Nein,H,54,Martigny,20221006162415
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20221006162415
Claudy BESSE,UDC,Non/Nein,H,58,Monthey,20221006162415
Jacques BLANC,AC,Non/Nein,H,68,Hérens,20221006162415
Vincent BOAND,UDC,Non/Nein,H,37,Sion,20221006162415
Alex BONVIN,UDC,Oui/Ja,H,63,Sierre,20221006162415
Nicolas BONVIN,Le Centre,Non/Nein,H,33,Sierre,20221006162415
Sophie BORNET,Le Centre,Non/Nein,F,54,Conthey,20221006162415
Hermann BRUNNER,CSPO,Non/Nein,H,68,Westlich Raron,20221006162415
Michael BURGENER,Die Mitte Oberwallis,Non/Nein,H,41,Visp,20221006162415
Paul BURGENER,Die Mitte Oberwallis,Oui/Ja,H,69,Visp,20221006162415
Peter BURRI,ZUK-VS,Oui/Ja,H,57,Visp,20221006162415
Mathieu CALOZ,VLR,Non/Nein,H,29,Sierre,20221006162415
Chantal CARLEN,Die Mitte Oberwallis,Oui/Ja,F,30,Goms,20221006162415
Florine CARRON,LES VERTS,Non/Nein,F,44,Martigny,20221006162415
Florence CARRON DARBELLAY,Le Centre,Oui/Ja,F,49,Martigny,20221006162415
Patricia CASAYS,Le Centre,Non/Nein,F,75,Monthey,20221006162415
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,75,Martigny,20221006162415
Stéphane CLAVIEN,VLR,Oui/Ja,H,65,Sierre,20221006162415
Damien CLERC,Le Centre,Non/Nein,H,41,Conthey,20221006162415
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,61,Sierre,20221006162415
Adeline CRETTENAND,VLR,Non/Nein,F,28,Martigny,20221006162415
Narcisse CRETTENAND,VLR,Oui/Ja,H,67,Martigny,20221006162415
Blaise CRETTOL,AC,Non/Nein,H,50,Sierre,20221006162415
Cilette CRETTON,AC,Oui/Ja,F,77,Martigny,20221006162415
Lucile CURDY,PS-GC,Non/Nein,F,23,Conthey,20221006162415
Alina DARBELLAY,LES VERTS,Non/Nein,F,55,Sion,20221006162415
Pierre DARBELLAY,Le Centre,Non/Nein,H,34,Entremont,20221006162415
Olivier DERIVAZ,PS-GC,Non/Nein,H,58,Monthey,20221006162415
Eric DESSIMOZ,LES VERTS,Non/Nein,H,57,Conthey,20221006162415
Arnaud DUBOIS,VLR,Oui/Ja,H,37,Monthey,20221006162415
Corinne DUC BONVIN,PS-GC,Non/Nein,F,55,Sierre,20221006162415
Marius DUMOULIN,Le Centre,Non/Nein,H,67,Sion,20221006162415
Jean-Marc DUPONT,PS-GC,Non/Nein,H,64,Martigny,20221006162415
Florian EVEQUOZ,AC,Non/Nein,H,41,Conthey,20221006162415
German EYER,ZUK-VS,Non/Nein,H,61,Brig,20221006162415
Natascha FARQUET,VLR,Oui/Ja,F,40,Martigny,20221006162415
Florent FAVRE,Le Centre,Non/Nein,H,28,Conthey,20221006162415
Mélanie FOLLONIER,VLR,Oui/Ja,F,30,Hérens,20221006162415
Sandro FONTANA,Le Centre,Non/Nein,H,56,Monthey,20221006162415
Jérôme FORMAZ,UDC,Non/Nein,H,46,Entremont,20221006162415
Sabine FOURNIER,LES VERTS,Non/Nein,F,47,St-Maurice,20221006162415
Damien FUMEAUX,UDC,Non/Nein,H,24,Conthey,20221006162415
Pascale FUMEAUX,AC,Abst./Enth.,F,40,Conthey,20221006162415
Sandro FUX,SVPO,Non/Nein,H,34,Brig,20221006162415
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,56,Hérens,20221006162415
Marc-Antoine GENOLET,UDC,Oui/Ja,H,58,Hérens,20221006162415
François GENOUD,VLR,Non/Nein,H,70,Sierre,20221006162415
Géraldine GIANADDA,VLR,Oui/Ja,F,55,Martigny,20221006162415
Anne-Marie GRAND,Le Centre,Non/Nein,F,50,Conthey,20221006162415
Géraldine GRANGES GUENOT,UDC,Non/Nein,F,47,Martigny,20221006162415
Vincent GÜNTHER,LES VERTS,Non/Nein,H,53,Martigny,20221006162415
Ida HÄFLIGER,CSPO,Non/Nein,F,65,Visp,20221006162415
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,48,Brig,20221006162415
Lukas JÄGER,SVPO,Non/Nein,H,67,Leuk,20221006162415
Lukas KALBERMATTEN,Die Mitte Oberwallis,Non/Nein,H,51,Westlich Raron,20221006162415
Dominik KNUBEL,Die Mitte Oberwallis,Non/Nein,H,42,Westlich Raron,20221006162415
Michael KREUZER,SVPO,Non/Nein,H,33,Visp,20221006162415
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,63,Leuk,20221006162415
