name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Non/Nein,H,32,Visp,20201008154434
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,31,Brig,20201008154434
Romano AMACKER,SVPO,Oui/Ja,H,23,Westlich Raron,20201008154434
Maria ARNOLD-ESCHER,CVPO,Non/Nein,F,57,Brig,20201008154434
Peter BÄHLER,SVPO,Oui/Ja,H,67,Goms,20201008154434
Fabrice BENDER,VLR,Non/Nein,H,51,St-Maurice,20201008154434
Léonard BENDER,AC,Oui/Ja,H,52,Martigny,20201008154434
Philippe BENDER,VLR,Non/Nein,H,70,Martigny,20201008154434
Claudy BESSE,UDC,Abst./Enth.,H,56,Monthey,20201008154434
Jacques BLANC,AC,Abst./Enth.,H,66,Hérens,20201008154434
Vincent BOAND,UDC,Oui/Ja,H,35,Sion,20201008154434
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201008154434
Alex BONVIN,UDC,Non/Nein,H,61,Sierre,20201008154434
Nicolas BONVIN,PDC,Oui/Ja,H,31,Sierre,20201008154434
Gaël BOURGEOIS,AdG,Oui/Ja,H,37,Martigny,20201008154434
Hermann BRUNNER,CSPO,Oui/Ja,H,66,Westlich Raron,20201008154434
Michael BURGENER,CVPO,Non/Nein,H,39,Visp,20201008154434
Paul BURGENER,CVPO,Non/Nein,H,67,Visp,20201008154434
Peter BURRI,ZUK-VS,Abst./Enth.,H,55,Visp,20201008154434
Mathieu CALOZ,VLR,Non/Nein,H,27,Sierre,20201008154434
Chantal CARLEN,CVPO,Oui/Ja,F,28,Goms,20201008154434
Florine CARRON,LES VERTS,Oui/Ja,F,42,Martigny,20201008154434
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,47,Martigny,20201008154434
Patricia CASAYS,PDC,Oui/Ja,F,73,Monthey,20201008154434
Nicolas CHABLAIS,VLR,Non/Nein,H,32,Monthey,20201008154434
Jean-Dominique CIPOLLA,UDC,Oui/Ja,H,73,Martigny,20201008154434
Stéphane CLAVIEN,VLR,Non/Nein,H,63,Sierre,20201008154434
Damien CLERC,PDC,Oui/Ja,H,39,Conthey,20201008154434
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,59,Sierre,20201008154434
Adeline CRETTENAND,VLR,Non/Nein,F,26,Martigny,20201008154434
Narcisse CRETTENAND,VLR,Non/Nein,H,65,Martigny,20201008154434
Blaise CRETTOL,AC,Abst./Enth.,H,48,Sierre,20201008154434
Cilette CRETTON,AC,Non/Nein,F,75,Martigny,20201008154434
Lucile CURDY,AdG,Oui/Ja,F,21,Conthey,20201008154434
Pierre DARBELLAY,PDC,Oui/Ja,H,32,Entremont,20201008154434
Olivier DERIVAZ,AdG,Oui/Ja,H,56,Monthey,20201008154434
Ralph DESSIMOZ,PDC,Oui/Ja,H,56,Conthey,20201008154434
Arnaud DUBOIS,VLR,Non/Nein,H,35,Monthey,20201008154434
Alain DUBOSSON,UDC,Non/Nein,H,21,Monthey,20201008154434
Corinne DUC BONVIN,AdG,Oui/Ja,F,53,Sierre,20201008154434
Sophie DUCREY,AC,Oui/Ja,F,25,Monthey,20201008154434
Marius DUMOULIN,PDC,Oui/Ja,H,65,Sion,20201008154434
Jean-Marc DUPONT,AdG,Oui/Ja,H,62,Martigny,20201008154434
Christian ESCHER,CSPO,Abst./Enth.,H,41,Brig,20201008154434
Florian EVEQUOZ,AC,Oui/Ja,H,39,Conthey,20201008154434
German EYER,ZUK-VS,Oui/Ja,H,59,Brig,20201008154434
Florent FAVRE,PDC,Oui/Ja,H,26,Conthey,20201008154434
Mélanie FOLLONIER,VLR,Non/Nein,F,28,Hérens,20201008154434
Sandro FONTANA,PDC,Oui/Ja,H,54,Monthey,20201008154434
Jérôme FORMAZ,UDC,Oui/Ja,H,44,Entremont,20201008154434
Sabine FOURNIER,LES VERTS,Oui/Ja,F,45,St-Maurice,20201008154434
Damien FUMEAUX,UDC,Non/Nein,H,22,Conthey,20201008154434
Pascale FUMEAUX,AC,Oui/Ja,F,38,Conthey,20201008154434
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,54,Hérens,20201008154434
Marc-Antoine GENOLET,UDC,Oui/Ja,H,56,Hérens,20201008154434
François GENOUD,VLR,Non/Nein,H,68,Sierre,20201008154434
Géraldine GRANGES-GUENOT,UDC,Non/Nein,F,45,Martigny,20201008154434
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,51,Martigny,20201008154434
Ida HÄFLIGER,CSPO,Abst./Enth.,F,63,Visp,20201008154434
Christelle HERITIER,VLR,Oui/Ja,F,35,Sion,20201008154434
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,46,Brig,20201008154434
Lukas JÄGER,SVPO,Oui/Ja,H,65,Leuk,20201008154434
Lukas KALBERMATTEN,CVPO,Oui/Ja,H,49,Westlich Raron,20201008154434
Dominik KNUBEL,CVPO,Oui/Ja,H,40,Westlich Raron,20201008154434
Michael KREUZER,SVPO,Oui/Ja,H,31,Visp,20201008154434
Ralph KUMMER,SVPO,Oui/Ja,H,42,Brig,20201008154434
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,61,Leuk,20201008154434
Alain LÉGER,PDC,Oui/Ja,H,42,Martigny,20201008154434
Jean-François LOVEY,AC,Oui/Ja,H,65,Entremont,20201008154434
Damien LUISIER,PDC,Oui/Ja,H,27,Martigny,20201008154434
Vincent LUYET,AC,Abst./Enth.,H,43,Sion,20201008154434
Natacha MARET,PDC,Oui/Ja,F,37,Entremont,20201008154434
Rainer MATHIER,CVPO,Non/Nein,H,63,Leuk,20201008154434
Thomas MATTER,CSPO,Abst./Enth.,H,54,Leuk,20201008154434
Kamy MAY,PDC,Oui/Ja,F,26,Entremont,20201008154434
Nicolas METTAN,PDC,Oui/Ja,H,59,St-Maurice,20201008154434
Fabienne MURMANN,CVPO,Oui/Ja,F,39,Leuk,20201008154434
Jean-Daniel NANCHEN,LES VERTS,Oui/Ja,H,63,Sierre,20201008154434
Claude NANÇOZ,VLR,Non/Nein,H,68,Conthey,20201008154434
Bernard OBERHOLZER,AC,Non/Nein,H,75,Monthey,20201008154434
Edmond PERRUCHOUD,UDC,Oui/Ja,H,73,Sierre,20201008154434
Frédéric PITTELOUD,PDC,Abst./Enth.,H,45,Hérens,20201008154434
Emilie PRAZ,AC,Non/Nein,F,34,Sion,20201008154434
François QUENNOZ,UDC,Oui/Ja,H,27,Sion,20201008154434
Damien RABOUD,UDC,Non/Nein,H,34,Monthey,20201008154434
Pierre-Alain RAEMY,VLR,Non/Nein,H,59,Sion,20201008154434
Célina RAMSAUER,AC,Non/Nein,F,44,Sierre,20201008154434
Kurt REGOTZ,CSPO,Oui/Ja,H,67,Brig,20201008154434
Jean-Pierre REY,VLR,Non/Nein,H,57,Sierre,20201008154434
Caroline REYNARD,AdG,Oui/Ja,F,24,Sion,20201008154434
Janine REY-SIGGEN,AdG,Oui/Ja,F,60,Sierre,20201008154434
Johan ROCHEL,AC,Non/Nein,H,36,Monthey,20201008154434
Martine ROUILLER,AC,Oui/Ja,F,38,St-Maurice,20201008154434
Léa ROUILLER DESSIMOZ,LES VERTS,Oui/Ja,F,20,Conthey,20201008154434
Christine ROUX,PDC,Oui/Ja,F,58,Sion,20201008154434
Felix RUPPEN,CVPO,Oui/Ja,H,59,Brig,20201008154434
Gérard SALAMIN,PDC,Oui/Ja,H,57,Sierre,20201008154434
Mathieu SARRASIN,VLR,Non/Nein,H,59,Entremont,20201008154434
Jean-Marc SAVIOZ,PDC,Oui/Ja,H,50,Sierre,20201008154434
Pierre SCHERTENLEIB,AdG,Oui/Ja,H,67,Sion,20201008154434
Flavio SCHMID,CSPO,Abst./Enth.,H,35,Visp,20201008154434
Remo SCHNYDER,SVPO,Oui/Ja,H,46,Brig,20201008154434
Alain SCHÖNBETT,VLR,Non/Nein,H,65,Monthey,20201008154434
Martin SCHÜRCH,CVPO,Oui/Ja,H,48,Visp,20201008154434
Ruth STALDER,VLR,Non/Nein,F,58,Sion,20201008154434
Fabien THETAZ,AdG,Oui/Ja,H,34,Monthey,20201008154434
Bernard TROILLET,PDC,Oui/Ja,H,66,Martigny,20201008154434
Romain UDRY,VLR,Non/Nein,H,28,Conthey,20201008154434
Grégoire VANNAY,PDC,Oui/Ja,H,50,Monthey,20201008154434
Georges VIONNET,LES VERTS,Oui/Ja,H,66,Monthey,20201008154434
Jenny VOEFFRAY,PDC,Oui/Ja,F,46,St-Maurice,20201008154434
Laurence VUAGNIAUX,LES VERTS,Oui/Ja,F,45,Sion,20201008154434
Côme VUILLE,VLR,Non/Nein,H,33,Monthey,20201008154434
Joséphine WAEBER,PDC,Oui/Ja,F,35,Sierre,20201008154434
Rafael WELSCHEN,CVPO,Non/Nein,H,32,Brig,20201008154434
Leander WILLINER,CSPO,Oui/Ja,H,67,Brig,20201008154434
Jean ZERMATTEN,AC,Oui/Ja,H,72,Sion,20201008154434
Rahel ZIMMERMANN,ZUK-VS,Oui/Ja,F,35,Visp,20201008154434
Marie ZUCHUAT,PDC,Oui/Ja,F,33,Sion,20201008154434
Fabian ZURBRIGGEN,SVPO,Oui/Ja,H,46,Visp,20201008154434
Danica ZURBRIGGEN LEHNER,CSPO,Oui/Ja,F,40,Visp,20201008154434
Gabrielle BARRAS,UDC,Aucun/Keine,F,57,Sion,20201008154434
