name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Oui/Ja,H,34,Visp,20221025092901
Claudia ALPIGER,ZUK-VS,Oui/Ja,F,33,Brig,20221025092901
Romano AMACKER,SVPO,Non/Nein,H,25,Westlich Raron,20221025092901
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Oui/Ja,F,59,Brig,20221025092901
Peter BÄHLER,SVPO,Non/Nein,H,69,Goms,20221025092901
Gabrielle BARRAS,UDC,Non/Nein,F,59,Sion,20221025092901
Léonard BENDER,AC,Oui/Ja,H,54,Martigny,20221025092901
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20221025092901
Claudy BESSE,UDC,Non/Nein,H,58,Monthey,20221025092901
Vincent BOAND,UDC,Oui/Ja,H,37,Sion,20221025092901
Alex BONVIN,UDC,Non/Nein,H,63,Sierre,20221025092901
Nicolas BONVIN,Le Centre,Oui/Ja,H,33,Sierre,20221025092901
Sophie BORNET,Le Centre,Oui/Ja,F,54,Conthey,20221025092901
Gaël BOURGEOIS,PS-GC,Oui/Ja,H,39,Martigny,20221025092901
Hermann BRUNNER,CSPO,Oui/Ja,H,68,Westlich Raron,20221025092901
Michael BURGENER,Die Mitte Oberwallis,Oui/Ja,H,41,Visp,20221025092901
Paul BURGENER,Die Mitte Oberwallis,Oui/Ja,H,69,Visp,20221025092901
Peter BURRI,ZUK-VS,Oui/Ja,H,57,Visp,20221025092901
Mathieu CALOZ,VLR,Oui/Ja,H,29,Sierre,20221025092901
Chantal CARLEN,Die Mitte Oberwallis,Oui/Ja,F,30,Goms,20221025092901
Florine CARRON,LES VERTS,Oui/Ja,F,44,Martigny,20221025092901
Florence CARRON DARBELLAY,Le Centre,Oui/Ja,F,49,Martigny,20221025092901
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,75,Martigny,20221025092901
Stéphane CLAVIEN,VLR,Oui/Ja,H,65,Sierre,20221025092901
Damien CLERC,Le Centre,Oui/Ja,H,41,Conthey,20221025092901
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Oui/Ja,F,61,Sierre,20221025092901
Adeline CRETTENAND,VLR,Oui/Ja,F,28,Martigny,20221025092901
Narcisse CRETTENAND,VLR,Oui/Ja,H,67,Martigny,20221025092901
Blaise CRETTOL,AC,Oui/Ja,H,50,Sierre,20221025092901
Cilette CRETTON,AC,Oui/Ja,F,77,Martigny,20221025092901
Lucile CURDY,PS-GC,Oui/Ja,F,23,Conthey,20221025092901
Alina DARBELLAY,LES VERTS,Oui/Ja,F,55,Sion,20221025092901
Pierre DARBELLAY,Le Centre,Oui/Ja,H,34,Entremont,20221025092901
Olivier DERIVAZ,PS-GC,Oui/Ja,H,58,Monthey,20221025092901
Eric DESSIMOZ,LES VERTS,Oui/Ja,H,57,Conthey,20221025092901
Arnaud DUBOIS,VLR,Oui/Ja,H,37,Monthey,20221025092901
Corinne DUC BONVIN,PS-GC,Oui/Ja,F,55,Sierre,20221025092901
Marius DUMOULIN,Le Centre,Oui/Ja,H,67,Sion,20221025092901
Jean-Marc DUPONT,PS-GC,Oui/Ja,H,64,Martigny,20221025092901
Christian ESCHER,CSPO,Oui/Ja,H,43,Brig,20221025092901
Florian EVEQUOZ,AC,Non/Nein,H,41,Conthey,20221025092901
German EYER,ZUK-VS,Oui/Ja,H,61,Brig,20221025092901
Natascha FARQUET,VLR,Oui/Ja,F,40,Martigny,20221025092901
Mélanie FOLLONIER,VLR,Oui/Ja,F,30,Hérens,20221025092901
Sandro FONTANA,Le Centre,Oui/Ja,H,56,Monthey,20221025092901
Jérôme FORMAZ,UDC,Non/Nein,H,46,Entremont,20221025092901
Sabine FOURNIER,LES VERTS,Oui/Ja,F,47,St-Maurice,20221025092901
Damien FUMEAUX,UDC,Non/Nein,H,24,Conthey,20221025092901
Pascale FUMEAUX,AC,Oui/Ja,F,40,Conthey,20221025092901
Sandro FUX,SVPO,Non/Nein,H,34,Brig,20221025092901
Claudia GAILLARD MOREND,LES VERTS,Oui/Ja,F,56,Hérens,20221025092901
Marc-Antoine GENOLET,UDC,Non/Nein,H,58,Hérens,20221025092901
François GENOUD,VLR,Oui/Ja,H,70,Sierre,20221025092901
Géraldine GIANADDA,VLR,Oui/Ja,F,55,Martigny,20221025092901
Anne-Marie GRAND,Le Centre,Oui/Ja,F,50,Conthey,20221025092901
Géraldine GRANGES GUENOT,UDC,Oui/Ja,F,47,Martigny,20221025092901
Vincent GÜNTHER,LES VERTS,Oui/Ja,H,53,Martigny,20221025092901
Ida HÄFLIGER,CSPO,Oui/Ja,F,65,Visp,20221025092901
Christelle HERITIER,VLR,Oui/Ja,F,37,Sion,20221025092901
Monika HOLZEGGER,ZUK-VS,Oui/Ja,F,48,Brig,20221025092901
Lukas JÄGER,SVPO,Non/Nein,H,67,Leuk,20221025092901
Lukas KALBERMATTEN,Die Mitte Oberwallis,Oui/Ja,H,51,Westlich Raron,20221025092901
Dominik KNUBEL,Die Mitte Oberwallis,Oui/Ja,H,42,Westlich Raron,20221025092901
