name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,CVPO,Oui/Ja,H,32,Visp,20201008142044
Claudia ALPIGER,ZUK-VS,Non/Nein,F,31,Brig,20201008142044
Romano AMACKER,SVPO,Non/Nein,H,23,Westlich Raron,20201008142044
Maria ARNOLD-ESCHER,CVPO,Oui/Ja,F,57,Brig,20201008142044
Peter BÄHLER,SVPO,Oui/Ja,H,67,Goms,20201008142044
Fabrice BENDER,VLR,Non/Nein,H,51,St-Maurice,20201008142044
Léonard BENDER,AC,Non/Nein,H,52,Martigny,20201008142044
Philippe BENDER,VLR,Non/Nein,H,70,Martigny,20201008142044
Claudy BESSE,UDC,Non/Nein,H,56,Monthey,20201008142044
Jacques BLANC,AC,Oui/Ja,H,66,Hérens,20201008142044
Vincent BOAND,UDC,Non/Nein,H,35,Sion,20201008142044
Jean BONNARD,AC,Oui/Ja,H,71,Sion,20201008142044
Alex BONVIN,UDC,Non/Nein,H,61,Sierre,20201008142044
Nicolas BONVIN,PDC,Oui/Ja,H,31,Sierre,20201008142044
Gaël BOURGEOIS,AdG,Non/Nein,H,37,Martigny,20201008142044
Hermann BRUNNER,CSPO,Oui/Ja,H,66,Westlich Raron,20201008142044
Michael BURGENER,CVPO,Oui/Ja,H,39,Visp,20201008142044
Paul BURGENER,CVPO,Oui/Ja,H,67,Visp,20201008142044
Peter BURRI,ZUK-VS,Oui/Ja,H,55,Visp,20201008142044
Mathieu CALOZ,VLR,Abst./Enth.,H,27,Sierre,20201008142044
Chantal CARLEN,CVPO,Non/Nein,F,28,Goms,20201008142044
Florine CARRON,LES VERTS,Non/Nein,F,42,Martigny,20201008142044
Florence CARRON DARBELLAY,PDC,Oui/Ja,F,47,Martigny,20201008142044
Patricia CASAYS,PDC,Oui/Ja,F,73,Monthey,20201008142044
Nicolas CHABLAIS,VLR,Non/Nein,H,32,Monthey,20201008142044
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,73,Martigny,20201008142044
Stéphane CLAVIEN,VLR,Non/Nein,H,63,Sierre,20201008142044
Damien CLERC,PDC,Oui/Ja,H,39,Conthey,20201008142044
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,59,Sierre,20201008142044
Adeline CRETTENAND,VLR,Non/Nein,F,26,Martigny,20201008142044
Narcisse CRETTENAND,VLR,Non/Nein,H,65,Martigny,20201008142044
Blaise CRETTOL,AC,Non/Nein,H,48,Sierre,20201008142044
Cilette CRETTON,AC,Oui/Ja,F,75,Martigny,20201008142044
Lucile CURDY,AdG,Non/Nein,F,21,Conthey,20201008142044
Pierre DARBELLAY,PDC,Oui/Ja,H,32,Entremont,20201008142044
Olivier DERIVAZ,AdG,Abst./Enth.,H,56,Monthey,20201008142044
Ralph DESSIMOZ,PDC,Oui/Ja,H,56,Conthey,20201008142044
Arnaud DUBOIS,VLR,Non/Nein,H,35,Monthey,20201008142044
Alain DUBOSSON,UDC,Non/Nein,H,21,Monthey,20201008142044
Corinne DUC BONVIN,AdG,Non/Nein,F,53,Sierre,20201008142044
Sophie DUCREY,AC,Non/Nein,F,25,Monthey,20201008142044
Marius DUMOULIN,PDC,Oui/Ja,H,65,Sion,20201008142044
Jean-Marc DUPONT,AdG,Oui/Ja,H,62,Martigny,20201008142044
Christian ESCHER,CSPO,Oui/Ja,H,41,Brig,20201008142044
Florian EVEQUOZ,AC,Abst./Enth.,H,39,Conthey,20201008142044
German EYER,ZUK-VS,Non/Nein,H,59,Brig,20201008142044
Florent FAVRE,PDC,Oui/Ja,H,26,Conthey,20201008142044
Mélanie FOLLONIER,VLR,Oui/Ja,F,28,Hérens,20201008142044
Sandro FONTANA,PDC,Oui/Ja,H,54,Monthey,20201008142044
Jérôme FORMAZ,UDC,Abst./Enth.,H,44,Entremont,20201008142044
Sabine FOURNIER,LES VERTS,Oui/Ja,F,45,St-Maurice,20201008142044
Damien FUMEAUX,UDC,Non/Nein,H,22,Conthey,20201008142044
Pascale FUMEAUX,AC,Non/Nein,F,38,Conthey,20201008142044
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,54,Hérens,20201008142044
Marc-Antoine GENOLET,UDC,Non/Nein,H,56,Hérens,20201008142044
François GENOUD,VLR,Non/Nein,H,68,Sierre,20201008142044
Géraldine GRANGES-GUENOT,UDC,Non/Nein,F,45,Martigny,20201008142044
Vincent GÜNTHER,LES VERTS,Non/Nein,H,51,Martigny,20201008142044
Ida HÄFLIGER,CSPO,Oui/Ja,F,63,Visp,20201008142044
Christelle HERITIER,VLR,Non/Nein,F,35,Sion,20201008142044
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,46,Brig,20201008142044
Lukas JÄGER,SVPO,Non/Nein,H,65,Leuk,20201008142044
Lukas KALBERMATTEN,CVPO,Non/Nein,H,49,Westlich Raron,20201008142044
Dominik KNUBEL,CVPO,Oui/Ja,H,40,Westlich Raron,20201008142044
Michael KREUZER,SVPO,Non/Nein,H,31,Visp,20201008142044
Ralph KUMMER,SVPO,Non/Nein,H,42,Brig,20201008142044
Madeleine KUONEN-EGGO,ZUK-VS,Oui/Ja,F,61,Leuk,20201008142044
Alain LÉGER,PDC,Non/Nein,H,42,Martigny,20201008142044
Jean-François LOVEY,AC,Non/Nein,H,65,Entremont,20201008142044
Damien LUISIER,PDC,Non/Nein,H,27,Martigny,20201008142044
Vincent LUYET,AC,Non/Nein,H,43,Sion,20201008142044
Natacha MARET,PDC,Oui/Ja,F,37,Entremont,20201008142044
Rainer MATHIER,CVPO,Oui/Ja,H,63,Leuk,20201008142044
Thomas MATTER,CSPO,Oui/Ja,H,54,Leuk,20201008142044
Kamy MAY,PDC,Oui/Ja,F,26,Entremont,20201008142044
Nicolas METTAN,PDC,Oui/Ja,H,59,St-Maurice,20201008142044
Fabienne MURMANN,CVPO,Oui/Ja,F,39,Leuk,20201008142044
Jean-Daniel NANCHEN,LES VERTS,Non/Nein,H,63,Sierre,20201008142044
Claude NANÇOZ,VLR,Non/Nein,H,68,Conthey,20201008142044
